z,u_wc
0.490,0.637
0.052,-0.367
-2.189,-2.526
-0.598,-0.097
0.636,0.144
-1.393,-0.718
-1.555,-1.590
-0.559,0.160
-4.456,-2.832
-1.352,-0.702
-0.673,-0.360
-0.558,-0.292
-1.223,-0.893
-1.274,-0.320
-1.076,-0.538
-2.462,-1.900
0.145,0.378
-1.830,-1.582
-1.136,-0.300
-0.526,-0.128
-1.045,-0.484
-1.337,-1.863
0.650,0.723
-0.779,-0.386
-1.280,-1.839
-0.235,-0.072
-3.095,-3.011
-1.257,-0.702
-1.790,-1.789
-0.932,-0.472
-1.093,-0.863
-1.410,-1.902
-1.117,-0.444
-0.970,-0.811
-0.069,0.050
-1.290,-0.927
-1.828,-1.476
-2.211,-2.526
-3.304,-2.639
-1.262,-1.863
-1.417,-2.336
0.234,-1.434
-0.922,-0.486
-0.750,-0.734
0.157,-0.842
-0.903,-0.855
-2.204,-1.474
-2.030,-2.556
-0.158,0.031
-1.653,-1.892
-0.770,-0.472
-0.557,-0.292
-0.778,-0.517
-0.910,-0.472
0.494,-0.462
-0.763,-0.160
-0.438,-0.643
-1.458,-0.810
1.123,0.249
0.410,-0.099
-2.364,-2.759
-2.063,-1.856
-1.773,-1.529
-0.092,-0.114
0.409,0.203
0.052,0.115
-0.526,-0.128
-2.882,-1.563
-0.372,-0.905
-2.261,-2.315
-1.359,-1.875
-0.552,-0.247
-0.523,0.040
-2.656,-2.462
-0.245,-0.229
-0.569,-0.452
-0.533,-0.094
-0.174,-0.002
-2.164,-2.625
-0.826,-0.819
-1.141,-1.074
0.998,0.710
-0.489,0.040
-0.784,-0.472
-0.987,-0.753
0.669,0.084
0.669,0.285
0.465,0.626
-3.311,-2.593
1.651,1.597
-0.011,0.298
-0.607,-1.177
-1.623,-1.661
-0.697,-0.613
-3.548,-2.598
-1.098,-0.863
-0.097,0.058
-1.479,-0.539
-0.517,0.160
-0.124,-0.289
-1.554,-1.356
-1.383,-0.979
-0.810,-0.364
-1.856,-1.456
-0.513,-0.401
0.761,0.338
-1.466,-1.116
-0.445,-0.240
-1.418,-0.548
-1.870,-1.816
-0.092,0.024
-3.047,-2.425
-2.420,-1.900
-0.987,-1.615
-1.185,-1.668
-0.099,0.121
-2.083,-1.482
-1.673,-1.082
0.234,-0.421
-1.260,-1.153
1.310,0.680
-2.496,-2.434
-0.979,-0.512
-1.411,-1.902
0.029,-0.393
-0.287,-0.822
-1.720,-1.082
-0.535,-0.536
-0.900,-0.486
-0.444,-0.426
-0.954,-0.440
-0.260,-0.349
0.128,1.093
-2.544,-1.497
-2.034,-1.929
-0.816,-0.293
-0.792,-0.267
-1.310,-1.091
-2.962,-2.790
-1.686,-1.901
0.224,0.167
-0.647,-0.134
-2.016,-1.711
-0.080,-0.031
0.561,1.202
-1.643,-1.795
-0.439,-1.133
0.143,0.290
0.224,0.141
-1.241,-1.012
-1.725,-1.116
-2.184,-2.055
-2.059,-2.028
-0.394,0.037
-2.183,-1.598
1.134,0.783
-0.148,0.210
0.607,0.011
-1.738,-0.735
-1.413,-2.179
-1.296,-0.727
-0.801,-0.460
-2.805,-2.733
-0.322,0.037
-1.200,-0.974
0.408,0.324
-2.215,-2.472
-0.898,-0.987
-0.816,-0.319
-0.679,-0.567
0.230,-0.448
-0.591,-0.466
0.084,-0.298
-2.645,-2.462
-0.333,-0.166
-1.077,-0.512
-0.932,-0.917
-0.505,-0.266
-1.602,-0.831
-0.504,-0.426
-2.229,-1.956
-0.098,-0.506
-0.508,-0.158
-2.552,-2.846
-0.414,-0.002
-1.079,-0.996
-0.529,-0.247
-1.872,-2.501
-0.778,-0.472
-1.871,-1.982
-2.100,-2.036
-2.134,-2.731
-0.606,-0.517
-0.947,-0.840
-1.943,-1.874
-0.150,0.024
-1.983,-1.711
-1.716,-1.401
-0.137,-0.149
0.316,-0.122
1.679,1.940
1.988,0.023
1.262,2.426
0.771,1.452
3.729,0.671
1.173,2.088
1.383,1.752
0.214,2.849
0.544,2.491
1.060,2.584
0.670,0.815
0.745,2.445
2.748,0.676
0.313,0.799
2.054,0.736
0.189,2.720
1.254,2.105
0.701,2.757
2.861,0.823
2.473,0.623
1.312,1.915
3.070,-0.265
1.009,0.707
1.118,1.977
1.769,1.236
0.455,0.706
2.361,0.649
1.882,1.705
-0.016,2.831
1.123,1.793
0.231,2.121
0.889,1.514
0.512,2.718
1.952,0.028
1.511,1.559
0.909,2.504
2.065,1.457
0.675,2.531
1.403,2.031
1.190,1.180
-0.044,2.190
0.517,2.918
-0.455,3.210
0.662,2.497
0.678,2.082
0.717,2.927
1.555,1.682
0.922,1.154
1.263,0.704
0.049,2.522
1.152,2.183
0.741,1.978
1.606,1.698
0.179,2.961
1.285,1.206
-0.435,2.845
1.074,1.725
0.512,2.757
3.143,0.028
0.436,2.981
-0.658,3.007
0.296,2.699
-2.102,4.180
1.128,2.264
0.418,2.685
1.148,1.514
2.725,0.596
1.792,1.733
1.076,2.606
0.661,2.362
0.830,2.100
0.510,2.883
1.093,2.374
3.499,0.340
0.141,2.804
-0.493,0.721
1.471,1.307
0.196,2.675
0.006,2.835
-1.066,3.607
-0.323,3.237
2.542,1.537
1.087,2.696
0.638,0.447
0.647,1.705
1.080,2.671
-1.336,3.554
0.469,0.859
1.392,1.511
-0.113,2.858
-0.312,1.300
1.198,2.277
2.544,0.443
-0.073,2.437
-0.326,3.040
0.920,1.965
1.658,1.578
2.328,-0.090
0.546,2.491
0.491,1.983
2.577,0.596
0.215,2.087
1.454,2.031
0.619,2.214
0.974,1.341
0.823,2.589
0.173,3.096
0.691,2.214
2.728,-0.386
1.473,1.533
0.513,1.956
-0.718,3.186
0.954,1.031
0.363,3.030
-0.226,2.564
0.239,2.778
1.194,2.518
2.173,1.225
0.293,2.849
1.941,-0.482
0.912,2.043
-0.629,2.980
0.961,1.554
1.421,1.511
1.214,1.537
1.195,1.793
1.401,0.796
-0.265,3.210
-0.226,3.016
2.210,-0.008
0.490,1.979
0.091,2.227
1.555,1.099
0.990,2.531
2.150,1.568
4.298,-0.087
1.456,2.393
1.152,1.520
1.942,0.978
1.286,1.990
0.034,2.910
2.103,1.017
1.953,1.568
-1.120,3.423
0.347,1.548
0.846,2.659
-0.161,2.828
2.227,1.043
0.399,2.462
-1.067,3.344
1.307,2.495
1.069,2.374
0.891,2.576
0.696,2.419
-1.164,3.398
0.849,1.115
2.496,1.017
2.529,1.017
-0.214,3.192
-0.307,3.237
0.792,1.998
1.152,2.500
0.741,1.610
0.453,2.057
0.323,3.084
-1.961,3.931
0.033,2.919
-0.883,3.374
0.381,2.231
-0.019,2.981
0.601,2.692
2.567,1.203
2.552,0.596
1.497,1.490
1.107,1.537
2.282,1.729
1.459,2.020
1.804,2.408
1.000,2.801
-0.369,3.308
0.702,2.724
0.975,1.182
1.242,1.889
2.601,-0.386
1.578,1.555
0.410,2.685
2.069,1.483
1.888,0.706
1.532,0.673
1.562,1.317
0.398,2.783
2.323,1.004
1.358,2.548
1.842,0.710
-1.070,3.694
1.218,2.062
1.015,2.584
1.419,0.759
2.126,1.139
2.320,0.924
1.505,2.805
2.612,1.230
-3.735,-2.170
3.450,4.184
1.202,0.212
-0.750,-3.387
1.033,0.205
2.971,3.677
-0.882,-2.014
3.717,-1.158
2.948,3.152
-0.174,-0.164
0.183,0.667
-2.709,-3.247
1.110,0.786
-0.182,3.204
2.194,-1.685
-2.285,-0.524
2.974,-1.055
3.626,1.039
3.143,-2.386
-0.803,0.242
1.404,3.379
-0.659,-0.120
-1.140,-3.234
-2.327,-1.550
1.766,3.700
-3.826,1.088
2.680,-1.224
0.468,-0.691
1.984,3.279
-0.986,3.205
1.067,2.967
2.271,-0.650
0.841,2.531
-0.705,-0.013
-3.523,4.396
2.322,3.518
-0.868,3.563
-1.118,-2.652
1.070,-1.132
-0.228,3.596
-1.645,3.911
-2.277,4.983
1.852,3.308
1.323,3.222
0.446,3.520
-3.351,2.049
1.682,3.120
3.978,4.358
-0.369,0.210
-0.140,-1.962
1.425,2.715
-3.936,-2.144
3.034,1.206
-1.466,3.692
0.152,-1.250
0.352,3.035
1.130,-3.488
-1.013,-2.381
-1.168,1.838
1.456,-0.976
-1.502,-1.030
-3.227,-2.667
1.340,3.151
-3.337,6.204
2.601,3.604
2.930,-1.085
-3.458,-2.179
1.120,0.244
3.696,0.738
-3.004,-1.064
-0.773,-1.289
0.005,-3.406
2.006,1.934
-1.401,-3.297
3.606,7.121
3.907,7.177
-3.183,6.054
2.829,-1.913
-3.781,7.304
-1.998,0.595
0.331,-3.007
0.294,-3.261
3.113,-2.462
-3.022,-2.571
-2.798,-1.533
-0.402,3.121
0.083,2.101
-1.584,3.795
-0.773,-3.387
1.675,-3.168
-1.417,3.076
2.562,2.515
-2.106,4.578
1.547,3.056
-0.344,3.399
0.966,1.015
2.249,-3.052
-3.726,0.820
