z,u_wc
-0.957,-1.005
-0.472,-0.389
-1.683,-1.397
-2.108,-1.088
-2.059,-2.139
-0.815,-0.407
0.856,0.697
-1.428,-1.133
-2.640,-3.113
0.274,0.169
-0.962,-0.791
-2.990,-2.971
-1.331,-0.714
-1.073,-0.646
-1.639,-0.988
0.080,0.515
-0.928,-0.581
-1.158,-0.239
0.500,1.357
-0.839,-0.158
-2.480,-2.169
-2.502,-1.332
-0.252,-0.171
-0.670,-0.194
-0.087,0.465
-0.389,-0.690
0.274,0.170
0.247,0.568
-2.111,-1.347
-0.503,-0.188
-1.224,-0.658
-1.451,-1.068
0.816,0.862
-0.885,-0.886
-0.334,-0.719
-0.855,-0.466
-2.662,-3.178
-0.673,-0.790
-0.841,-0.784
-2.098,-1.331
-1.118,-0.900
-2.182,-2.139
-1.922,-2.754
-2.495,-2.899
0.045,0.248
-0.076,0.211
-0.652,-0.328
-0.002,0.099
-1.032,-0.844
-2.695,-2.396
-0.606,-0.905
-1.750,-0.869
-0.283,-0.110
2.264,1.328
0.944,1.148
-0.824,-0.636
-0.908,-0.390
0.193,0.365
-1.509,-1.130
-0.653,-0.744
-0.909,-0.432
0.966,1.031
-0.424,-0.205
-2.541,-2.732
-2.761,-2.309
-1.056,-0.760
-0.911,-0.913
-1.401,-1.129
-0.339,-0.846
-0.350,-0.046
-0.040,0.157
-0.832,-0.311
-2.250,-2.139
-0.999,-0.659
-1.356,-0.614
-2.955,-3.169
-0.456,0.137
0.518,0.207
-2.920,-2.999
-0.602,-0.690
-1.193,-1.110
-2.921,-2.774
-0.776,-0.791
-1.433,-0.776
-3.960,-2.006
-1.975,-1.938
-2.060,-2.139
-1.685,-0.843
-1.365,-1.161
0.296,0.584
-1.422,-0.770
-0.935,-0.843
-2.315,-1.893
1.481,0.777
-1.103,-0.843
-1.083,-0.548
-2.586,-3.150
-0.928,-0.621
-0.808,-0.931
-1.455,-1.116
-3.056,-2.774
0.138,-0.251
-0.670,-0.744
-0.707,-0.354
-1.284,-0.900
-2.450,-2.218
-3.625,-2.522
-0.141,-0.602
-0.040,0.518
-1.587,-1.156
-0.506,-0.698
-0.881,-0.581
0.685,1.198
0.817,1.093
-1.050,-0.648
-0.920,-0.158
-1.882,-1.254
-0.806,-0.575
-2.252,-1.408
-2.314,-2.273
-1.158,-0.770
-0.527,-0.664
-1.308,-0.797
-1.473,-1.133
-0.534,-0.201
-1.090,-1.064
-2.140,-1.780
-0.564,-0.844
0.014,0.237
-0.415,-0.199
-0.189,0.244
0.810,0.864
-1.530,-0.930
-1.072,-1.106
-0.373,-0.548
0.669,0.287
-1.827,-1.062
-0.700,-0.279
-1.223,-1.132
-0.905,-0.610
-1.736,-1.207
0.074,0.999
-1.055,-1.017
0.734,0.592
-0.453,-0.621
-0.227,-0.548
-1.195,-1.106
-1.726,-1.173
0.576,0.530
-1.913,-1.610
-2.165,-1.347
0.207,0.203
-1.185,-0.951
-1.776,-0.817
-0.873,-0.568
-0.221,-0.829
-0.127,-0.047
-0.802,-0.311
-1.791,-1.929
-1.831,-1.980
-1.146,-0.951
0.542,0.388
0.327,0.740
-2.562,-2.232
-0.917,-0.432
0.536,1.151
-2.965,-2.774
-0.779,-0.285
-0.722,-0.816
0.365,0.427
-0.204,-0.830
-3.619,-2.409
-2.237,-2.192
-2.903,-2.234
-0.371,-0.170
-1.872,-1.249
-1.152,-0.911
0.302,0.539
-0.023,0.196
-2.271,-2.139
-0.840,-1.149
-1.285,-1.133
0.428,1.229
-0.770,-0.491
-1.846,-1.076
-0.745,-0.138
-0.703,-0.770
-0.902,-0.880
-1.378,-0.501
0.773,0.928
-0.884,-0.791
-0.773,-0.328
0.490,-0.319
0.530,0.518
-2.034,-1.663
0.873,1.288
-0.935,-0.886
-0.701,-0.312
-0.957,-1.005
-0.002,0.195
-0.301,3.101
0.039,2.253
2.007,1.461
-0.051,2.487
0.830,1.716
1.924,1.838
0.901,1.461
2.312,0.944
1.845,2.079
1.415,1.154
0.507,2.639
1.068,2.327
1.455,1.736
-0.138,2.369
0.596,2.912
2.601,2.043
-1.399,3.294
0.351,2.943
2.197,1.222
1.781,1.870
1.512,1.131
-0.725,3.204
0.667,2.765
0.960,1.877
1.221,2.793
1.020,2.404
1.303,2.120
1.602,1.731
0.644,2.914
0.307,2.844
-0.849,3.260
0.451,1.043
0.958,2.547
-0.079,2.921
-0.805,3.231
2.130,1.222
1.526,2.440
0.629,1.883
0.493,2.195
2.283,0.045
0.645,2.060
-0.718,2.809
1.322,1.206
1.379,2.570
0.904,2.203
0.740,3.096
-0.116,1.594
2.369,1.159
-0.175,1.347
0.771,2.649
2.872,1.456
1.055,2.409
2.164,1.947
-1.096,3.335
-0.838,2.956
0.575,1.909
0.790,1.716
1.514,2.079
2.011,0.242
1.601,1.902
-0.775,3.068
0.864,2.034
1.604,1.631
1.734,1.843
1.418,2.276
0.288,2.943
1.852,1.567
0.266,2.554
-0.437,3.089
1.234,1.513
1.013,2.521
1.584,2.362
-1.117,3.188
0.907,2.793
1.023,1.161
0.604,2.704
1.815,1.730
0.607,2.404
0.339,2.554
-0.502,1.155
1.435,1.737
1.952,1.119
1.575,1.566
1.689,0.597
1.642,0.873
2.018,1.119
-0.393,3.129
2.970,1.280
0.343,2.551
2.652,1.181
1.766,1.234
-0.425,3.119
0.329,2.576
1.191,2.060
-0.221,3.040
-0.109,2.321
0.652,2.586
1.342,2.450
0.016,3.091
0.939,2.380
1.139,2.495
1.287,0.780
-0.633,2.681
3.474,1.680
0.899,0.917
-0.034,2.921
1.223,1.765
1.164,2.327
1.599,1.661
0.073,0.762
1.946,0.595
1.373,2.172
-1.162,3.326
0.956,2.518
-0.010,2.789
0.800,2.522
0.636,2.709
3.621,0.161
0.116,1.676
-0.493,2.945
-0.452,2.799
1.131,2.055
1.168,1.457
0.683,2.586
1.710,2.087
0.428,2.435
2.748,1.318
0.588,1.883
3.196,2.048
0.518,2.050
0.507,1.035
0.172,2.871
-0.440,2.349
0.550,2.230
0.536,2.577
0.973,1.487
0.939,1.149
1.910,2.448
0.570,2.854
0.943,2.547
0.647,1.748
2.236,1.539
1.540,1.575
0.082,2.576
0.171,2.212
1.100,1.689
0.623,2.709
0.512,2.528
0.294,2.315
1.659,1.842
0.782,1.775
1.549,2.440
1.241,1.954
0.737,2.738
0.499,2.386
-0.043,2.526
-1.235,3.278
-0.083,2.487
-1.137,3.121
0.978,0.845
2.228,1.079
-0.941,3.077
1.682,2.155
1.301,1.954
3.078,0.468
2.033,1.119
0.569,1.724
0.250,2.871
0.963,2.429
1.212,0.807
-0.051,3.062
-0.953,3.316
1.585,1.221
1.483,1.549
1.654,0.597
1.305,2.211
1.678,2.113
0.762,2.038
0.912,2.481
-1.047,3.174
-0.378,2.429
2.407,-0.992
0.797,2.627
-0.719,2.655
1.428,1.101
1.628,1.180
2.049,1.384
1.134,1.773
1.550,1.842
0.895,2.654
1.037,2.597
-0.652,3.176
1.328,0.721
1.962,1.275
-0.821,3.095
-0.692,3.229
1.689,0.948
1.346,1.817
1.343,1.817
-0.037,3.091
-1.399,0.526
-0.102,-0.047
2.621,-0.464
2.847,3.412
-0.003,-1.225
3.153,-0.632
-0.159,3.413
-2.608,-0.509
-2.890,6.746
3.333,7.358
-2.546,3.424
0.543,-2.577
-2.392,1.717
-1.227,3.443
-3.160,-3.085
-3.944,4.357
-0.667,0.847
1.160,2.654
1.185,3.314
-3.414,0.651
0.681,-0.389
-3.710,-1.963
2.153,-2.029
-3.268,-1.485
1.271,2.301
3.048,7.003
-0.158,-3.278
3.417,-0.566
-3.692,-1.964
0.127,-2.676
-2.574,-1.332
-2.096,-0.464
2.641,2.255
1.421,-0.174
2.453,1.509
2.036,1.681
-3.679,-2.041
0.655,2.064
-2.753,4.297
3.218,-1.047
0.391,1.446
2.658,1.740
-0.119,3.413
-1.329,0.062
-1.026,-0.648
-3.638,-1.546
0.430,0.310
-1.838,-3.218
2.420,2.317
-0.945,-0.296
0.642,0.337
-1.017,-2.847
2.845,-1.502
-2.306,-1.278
1.305,3.395
-2.899,-2.774
0.837,2.806
-2.277,-0.681
-1.606,-3.135
-0.853,-2.903
3.144,1.458
1.775,3.272
3.300,-0.671
-1.091,-1.347
0.857,3.298
1.321,0.703
-0.880,-2.739
-0.455,3.238
-2.218,-3.122
-1.160,3.332
-1.008,-2.851
2.495,-1.780
2.297,3.169
-3.443,0.913
1.568,0.622
-1.599,2.548
-3.087,6.245
2.063,-2.209
0.293,3.429
1.379,0.727
-1.023,3.104
-0.953,-2.767
1.985,-1.542
-1.553,3.462
-0.068,2.921
2.017,1.837
-2.246,-3.060
3.438,7.465
2.541,0.791
-2.039,-2.699
-0.956,-1.389
0.780,3.354
3.007,-0.880
-1.741,-0.760
-1.264,3.317
2.803,3.962
3.906,4.352
-2.840,5.778
2.233,-1.203
0.573,3.038
