z,u_wc
-0.608,-0.044
-2.079,-1.654
-0.568,0.110
-0.300,0.077
-0.533,-0.544
-0.027,0.441
0.183,0.002
-1.666,-0.957
-1.710,-1.482
0.238,0.415
0.637,1.034
-1.505,-1.106
-0.469,-0.088
-0.702,-1.683
0.468,0.788
-0.219,-0.423
-0.380,-0.634
-1.464,-1.220
-0.674,-0.969
0.729,1.113
-0.948,-1.149
-0.859,-1.019
-0.228,-0.212
-3.126,-1.603
-0.171,0.094
-1.376,-0.905
-1.150,-0.924
1.279,0.983
-1.397,-0.905
-1.491,-1.132
0.875,1.044
-1.390,-2.317
-2.285,-0.977
-1.153,-0.794
-1.885,-1.630
-1.258,-1.979
-1.307,-0.285
-3.356,-1.452
-1.785,-1.824
-1.293,-0.596
-1.646,-0.951
-2.394,-2.000
-0.846,-0.662
-1.701,-1.106
-0.108,-0.231
-1.462,-1.254
-0.465,-0.378
-0.046,-0.382
-2.197,-1.706
-2.113,-1.057
-0.193,0.031
-1.896,-1.658
-1.209,-1.113
-1.524,-1.464
-1.611,-0.536
-2.359,-2.000
-0.042,-0.133
-2.737,-2.095
-1.599,-1.539
-0.670,-0.410
-2.758,-1.611
0.084,-0.060
-0.370,0.117
-1.582,-1.777
-0.961,-0.742
-1.529,-1.756
0.957,0.658
-3.354,-1.455
-1.413,-1.037
-0.701,-0.452
-1.655,-1.053
-1.146,-1.250
-1.146,-0.461
-0.457,-0.344
-1.674,-1.106
-2.461,-2.067
-0.922,-0.815
-1.071,-1.056
-1.150,-0.976
-1.288,-1.309
-1.449,-1.184
-0.162,-0.078
-0.602,0.029
-1.260,-0.108
-1.605,-0.344
-1.010,-0.622
-1.068,-0.768
1.274,1.219
0.064,0.200
-0.183,-0.371
-1.393,-0.876
-1.355,-1.220
-2.699,-2.232
0.470,0.614
-0.920,-0.251
-1.132,-1.168
-1.044,-0.742
0.111,0.559
-0.230,-0.009
-0.653,-0.608
-0.895,-0.447
0.421,0.073
-0.522,-0.474
0.884,0.947
-0.103,-0.073
-1.604,-1.722
-1.708,-0.944
-0.226,-0.428
-1.710,-0.804
-2.707,-1.644
-0.261,-0.473
-1.364,-0.879
-1.162,-0.924
-0.642,-0.177
-0.972,-0.717
-0.593,0.110
-0.958,-1.149
0.428,0.586
-1.380,-0.401
-0.711,-1.082
-1.279,-0.799
-1.209,-1.037
-0.905,-1.551
-1.758,-0.944
-2.989,-1.953
-2.663,-1.671
0.991,0.605
0.444,0.569
-1.105,-1.191
-1.289,-1.309
-0.313,0.143
-1.189,-0.985
-0.905,-1.201
-1.247,-0.622
0.795,0.797
-0.895,-0.511
1.362,1.505
1.046,0.610
-1.043,-1.255
-0.913,-0.486
-1.019,-0.963
-0.681,-0.573
-0.345,0.092
-0.336,0.301
-0.341,-0.015
-1.626,-1.426
-1.154,-0.697
-2.437,-1.732
0.489,0.639
-0.325,-0.229
-0.882,-0.821
-1.526,-0.848
-0.172,0.305
-1.503,-0.898
-2.088,-1.565
-1.723,-1.512
0.113,0.597
-1.839,-1.452
-1.756,-0.951
-1.552,-0.931
-1.724,-0.951
-1.839,-1.842
-2.208,-1.952
-1.488,-1.254
-0.603,-0.503
-1.351,-0.726
-0.568,-0.879
-2.080,-1.724
-1.070,-0.873
-1.335,-0.401
-1.820,-1.523
1.344,0.947
-2.495,-2.000
0.867,1.018
-1.788,-1.542
-0.636,-0.447
-2.011,-1.348
-1.911,-1.523
-2.188,-2.173
-2.243,-2.170
-1.067,-1.056
-0.275,-0.269
-1.740,-0.804
-0.635,-0.363
-2.153,-1.944
-0.783,-1.604
-2.994,-1.742
-2.519,-2.000
-0.069,0.623
-1.807,-1.793
-2.042,-2.393
-0.328,0.512
-2.066,-1.700
-1.821,-1.569
-0.177,-0.178
0.580,0.263
-2.273,-1.973
-0.269,0.280
0.161,0.362
-2.044,-1.889
-0.397,3.026
0.907,2.528
-0.509,3.216
0.736,1.189
1.527,1.224
2.026,1.792
0.858,2.084
1.105,2.401
1.556,2.004
0.533,2.944
-0.578,3.234
2.438,1.008
1.545,0.842
1.443,1.166
-0.157,2.841
-0.055,3.044
-0.361,3.123
0.276,2.521
-0.058,3.075
0.854,1.696
1.929,2.004
0.638,2.751
2.845,0.784
0.715,2.944
1.080,1.743
0.517,2.608
2.534,0.645
2.279,1.765
0.358,2.979
1.596,1.593
1.746,1.892
0.964,1.167
1.537,1.316
0.460,2.634
0.393,2.915
1.868,2.062
-0.007,2.635
0.885,1.720
0.153,2.401
-1.076,3.269
-0.345,3.052
0.721,2.662
-0.033,2.700
1.239,1.638
1.078,1.365
0.103,3.107
0.496,2.162
1.162,0.269
-1.075,3.318
0.844,2.539
-0.315,3.083
2.561,1.675
0.488,2.387
0.715,1.158
-0.403,3.123
3.075,1.386
0.932,2.744
1.096,1.193
1.387,1.251
0.903,0.991
1.537,1.342
0.532,2.844
0.728,2.073
1.018,1.667
0.594,1.008
0.880,1.785
1.792,1.707
1.439,1.803
4.042,1.451
0.111,2.941
1.256,2.535
2.874,0.660
0.284,2.150
0.301,2.543
1.937,1.765
3.043,0.784
1.651,1.536
0.394,1.247
2.025,1.443
2.211,1.309
1.559,2.004
-0.497,2.728
0.424,2.594
-0.009,3.017
0.303,2.811
0.644,2.228
0.357,2.437
0.513,2.685
-0.976,3.154
1.647,2.431
-0.514,3.136
1.127,3.139
0.875,1.208
2.484,1.308
2.563,0.605
0.385,2.398
0.663,2.109
0.500,2.608
0.274,1.289
0.962,2.480
-0.549,3.201
1.634,0.825
0.507,2.685
-0.953,3.180
-0.407,3.120
1.479,2.004
0.555,1.250
1.354,1.505
0.181,2.190
0.385,2.398
2.129,1.295
1.369,0.947
1.056,2.173
2.674,0.132
2.299,0.627
2.213,0.650
2.150,0.855
2.378,0.654
1.238,1.682
0.461,2.913
1.788,1.681
-1.195,3.382
-0.332,2.999
1.793,0.616
0.958,1.670
3.076,1.212
0.437,2.911
3.069,1.441
0.879,2.584
-0.276,3.083
1.156,1.417
0.379,3.187
1.219,1.339
0.217,2.968
1.958,1.000
1.592,1.945
1.163,2.299
1.785,1.681
-0.031,3.075
1.487,1.628
1.936,1.347
1.835,1.340
1.432,2.140
-0.666,1.435
2.087,1.572
0.920,2.539
0.006,2.815
1.755,1.537
-0.582,3.091
0.155,2.995
0.605,2.257
1.160,2.277
0.528,1.202
2.069,2.027
2.356,1.031
1.419,1.380
0.472,2.952
0.228,2.966
1.491,1.532
1.004,1.693
1.117,2.262
1.673,1.013
0.663,3.009
0.302,2.916
0.551,3.145
1.987,0.908
-0.218,3.161
0.099,3.021
1.745,0.825
0.567,2.098
0.851,2.301
2.205,1.272
1.298,2.383
1.419,1.509
1.020,1.167
1.201,2.166
1.453,1.509
1.944,1.264
1.756,1.537
0.669,2.751
-0.132,2.950
2.056,1.321
0.432,2.084
1.656,1.579
0.054,2.379
0.685,2.109
0.359,3.104
1.704,2.521
0.095,3.021
0.187,2.995
0.832,2.301
1.569,2.417
-0.200,3.014
3.432,1.728
1.193,1.693
0.815,2.610
-0.142,2.714
0.977,1.577
1.906,2.300
1.771,2.268
-3.947,0.271
-3.931,-3.935
1.969,0.903
-2.682,3.898
-3.671,1.340
-1.104,3.393
-0.457,-1.554
-0.857,3.365
-0.055,3.297
0.636,1.073
-1.871,0.416
-3.773,1.704
2.941,0.120
2.592,3.348
3.839,-0.842
-0.267,-2.736
-1.955,3.648
-2.444,4.329
-2.437,-2.490
2.079,3.208
-2.293,-1.379
-2.490,-2.480
-0.407,3.007
-1.091,3.393
-1.458,-1.184
-3.639,1.336
-1.426,2.453
-2.522,-2.259
-3.409,0.500
-0.363,-2.514
1.183,-3.250
-1.850,0.117
3.024,0.016
-3.477,0.764
3.798,5.295
3.368,0.591
-1.010,3.336
3.558,5.862
0.946,-3.349
-2.969,-1.584
-3.999,-0.000
-2.006,0.957
0.223,3.413
1.203,2.895
-0.915,2.830
-2.057,-0.624
1.665,0.825
2.285,3.252
-2.066,0.957
1.833,-3.237
-0.735,-2.123
3.233,1.057
0.227,-0.861
2.556,-2.582
3.672,2.879
-0.497,-0.753
0.640,3.413
-2.914,7.558
-1.293,-1.387
-0.616,-2.853
0.619,1.876
1.786,2.458
2.512,2.292
-0.865,-1.604
-1.010,1.781
-1.730,1.647
-1.509,-0.898
1.888,0.881
1.444,3.024
1.113,-3.292
3.556,3.073
-0.771,0.019
0.132,0.362
0.423,2.970
3.911,-0.665
1.980,0.064
-1.686,2.802
-1.985,-0.401
0.385,2.113
1.436,-0.204
-3.350,-1.084
-0.024,3.183
1.002,3.441
0.392,-2.719
3.772,-0.923
0.452,1.021
-1.139,3.376
-0.804,2.406
-2.778,7.201
-1.948,-1.534
2.782,-2.526
-0.271,-0.205
0.568,3.233
-3.026,-0.927
3.157,1.819
-0.676,3.365
0.288,3.372
3.282,-1.716
1.917,3.224
-2.039,3.574
