z,u_wc
-1.428,-1.155
-2.096,-1.286
-0.704,-0.459
-2.741,-2.388
-0.726,-0.331
-0.413,-0.336
-0.625,-0.906
0.814,0.790
-0.139,0.066
0.308,0.317
-2.319,-2.599
-0.614,-0.767
-0.519,-0.282
-0.027,0.174
-0.338,-0.178
-1.015,-0.256
-0.653,-0.782
-1.394,-1.526
-0.578,-0.821
0.198,0.441
-1.755,-1.400
-0.795,-0.626
0.630,0.685
-0.897,-0.291
-0.768,-0.952
-1.186,-1.091
-0.551,-0.235
-2.273,-1.873
-0.106,-0.030
-1.623,-0.910
-0.487,-0.280
0.428,0.396
-2.200,-1.458
-1.249,-0.550
-1.139,-1.064
-1.829,-0.944
-1.461,-0.575
1.225,1.871
-0.988,-0.899
-0.459,-0.797
-0.905,-0.506
-2.238,-2.544
-0.074,-0.014
-1.972,-1.816
-0.660,-0.308
-1.398,-0.656
-0.230,-0.123
-0.165,-0.228
-1.363,-1.091
-0.931,-0.835
0.476,0.659
-0.421,-0.410
-0.975,-0.532
-2.845,-2.548
-1.221,-1.117
0.829,0.887
-1.836,-0.647
-0.913,-0.506
-0.598,-0.729
-2.322,-1.937
-1.463,-1.371
-1.888,-2.371
-2.249,-1.033
0.119,0.184
-0.935,-0.989
0.449,0.658
-0.142,0.109
-0.618,0.018
-0.155,-0.067
-1.383,-1.499
-1.629,-0.779
0.467,0.685
-1.494,-0.834
0.591,0.594
-1.589,-1.205
-1.347,-0.867
-0.428,-0.173
-1.052,-1.040
-2.920,-2.362
-0.077,0.314
-0.324,0.056
-1.840,-1.838
-2.044,-1.857
-2.380,-1.416
-0.529,-0.445
0.102,0.155
-1.035,-0.560
-1.524,-0.860
-1.472,-0.584
-1.609,-0.374
-1.323,-1.226
-0.137,0.109
-1.014,-0.486
-1.426,-1.167
0.282,0.343
-0.847,-0.326
-0.809,-0.907
-1.286,-0.768
-0.210,-0.080
-0.694,-0.832
-1.517,-1.038
-2.361,-1.873
0.604,0.611
-1.651,-1.220
-2.707,-0.883
-1.901,-1.263
-2.111,-1.884
-0.941,-0.407
-0.192,-0.093
-0.565,-0.305
-2.605,-2.774
-1.141,-1.412
-0.897,-0.291
-0.720,-0.858
-0.536,-0.209
-0.376,-0.156
-0.837,-0.899
-3.234,-1.833
0.862,1.009
-0.642,-0.261
-0.212,-0.094
-1.753,-1.118
0.244,0.382
-0.343,-0.312
-2.803,-2.493
-0.094,0.376
-3.340,-1.687
0.595,0.652
-1.978,-2.176
-1.666,-1.064
-0.102,-0.001
2.399,1.401
-0.366,-0.316
-2.096,-2.591
-0.624,-0.331
-1.913,-2.453
-2.107,-1.924
-0.215,-0.002
-0.999,-1.010
-0.944,-0.873
-1.317,-0.726
-2.113,-2.555
-2.406,-2.778
-1.042,-0.532
-1.070,-1.065
-0.647,-0.523
-0.710,-0.287
-1.120,-1.064
-1.951,-1.789
-1.970,-1.530
-0.036,0.050
-1.902,-1.394
-1.017,-0.604
-2.025,-2.246
-1.455,-1.231
-1.141,-0.455
-2.040,-1.493
-2.245,-2.085
-1.549,-1.311
-1.266,-1.117
-1.280,-0.726
-0.885,-0.058
0.338,0.307
-2.349,-1.964
-1.791,-1.307
-0.705,-0.743
-0.858,-0.937
-1.879,-1.766
-0.115,-0.030
-1.213,-1.103
-0.297,-0.093
-1.072,-1.065
-0.627,-0.331
0.819,0.651
-0.251,-0.132
-1.762,-0.831
-1.763,-1.537
-0.665,-0.727
-0.891,-0.835
-1.045,-1.021
-1.977,-1.121
-1.024,-0.532
-1.528,-1.311
-1.217,-0.956
-0.848,-0.922
-1.181,-0.649
-2.680,-2.042
-2.800,-2.575
-1.886,-1.664
-2.822,-2.547
-0.014,0.050
1.181,1.038
-0.327,-0.130
-1.918,-0.847
-1.719,-1.642
-0.303,-0.098
-0.327,0.456
-1.971,-1.907
0.197,0.949
-1.283,-0.542
2.238,0.355
1.013,2.186
1.656,1.894
1.929,1.065
1.088,2.375
-0.092,2.537
2.909,0.929
0.404,2.319
-0.385,3.026
-0.061,2.846
-0.220,3.138
1.606,2.069
0.935,2.745
2.155,1.308
-0.657,2.905
1.301,0.493
1.526,2.066
-0.356,2.999
-1.036,3.230
2.549,0.517
0.633,2.467
2.872,-0.090
2.462,1.040
0.298,2.320
1.064,1.254
1.428,2.224
2.104,1.267
1.182,1.441
0.698,1.821
1.047,1.118
-0.798,3.180
1.728,1.478
1.018,2.037
0.727,2.719
1.266,1.550
0.362,0.657
2.926,1.011
-0.613,3.078
0.589,2.690
-1.405,3.095
0.748,1.842
2.560,0.708
1.146,1.032
1.177,1.118
-0.214,2.981
1.581,2.292
0.595,2.077
-0.196,2.937
1.883,1.105
1.272,0.972
0.886,2.953
2.507,0.788
1.411,1.363
1.212,1.228
0.633,2.051
0.731,2.423
0.869,1.655
1.824,1.763
0.160,2.370
1.199,2.367
2.750,0.447
1.832,1.668
1.005,0.946
2.519,0.410
0.410,2.157
-0.232,2.302
0.592,1.777
1.619,1.567
1.644,1.332
-0.151,2.751
-0.208,2.655
1.070,2.674
2.970,-0.800
0.389,2.554
0.424,2.427
0.860,2.223
0.022,2.871
0.529,2.389
1.282,1.643
0.473,2.435
1.537,2.630
0.071,2.679
-0.266,2.776
2.489,-0.320
2.589,-0.034
1.632,2.371
0.614,2.395
-0.621,2.132
1.081,2.502
2.806,0.935
0.527,2.389
1.296,2.780
0.928,2.394
1.094,1.557
-0.097,2.728
0.749,2.140
0.688,2.619
-0.154,2.751
0.870,1.644
1.556,1.840
-0.055,2.682
0.723,2.838
1.346,2.642
1.231,1.051
3.219,0.623
0.375,2.639
0.306,2.212
-1.205,3.275
1.180,2.386
0.643,2.544
1.911,1.393
-0.214,3.042
-0.667,2.939
1.864,1.187
1.372,2.367
3.153,0.821
0.980,1.909
1.292,0.534
0.269,2.708
1.688,0.498
1.956,1.995
0.657,1.240
1.121,1.817
3.465,-0.577
1.483,2.095
-0.268,2.992
0.819,1.597
-1.350,3.246
0.978,2.211
0.761,2.308
1.317,1.498
0.820,1.995
1.698,1.384
1.818,2.074
3.867,0.979
-0.952,2.855
1.172,1.746
1.996,0.651
2.703,1.161
0.630,2.891
-0.103,2.537
1.673,1.694
2.403,1.088
1.076,1.818
0.517,2.759
1.782,1.989
2.235,1.129
0.333,2.554
0.215,2.171
0.076,2.734
1.888,1.838
1.104,1.025
2.670,0.768
2.860,1.199
3.576,0.598
0.768,2.308
1.657,1.720
1.462,2.246
0.953,2.294
1.313,1.792
0.054,2.018
2.531,0.950
0.771,2.282
1.118,2.260
1.196,1.389
0.441,2.104
-0.036,2.069
0.234,2.825
1.145,2.502
-0.143,3.036
2.202,-0.182
1.586,1.541
0.242,2.369
0.535,2.142
1.019,1.012
1.328,0.920
2.308,1.340
2.895,1.603
0.617,2.544
2.063,1.360
1.578,1.685
-1.397,3.188
-0.332,2.809
1.718,2.345
2.280,1.878
0.130,2.623
0.794,2.730
-0.181,2.509
1.575,1.349
1.309,2.216
0.319,1.990
0.886,2.626
0.902,2.700
0.409,2.748
0.421,1.249
0.684,2.519
0.255,2.130
2.405,1.177
1.300,2.216
0.985,2.197
-1.447,-0.583
2.631,-3.114
-3.704,3.765
0.770,0.939
-2.160,-2.705
-3.035,-2.173
-3.384,2.921
1.570,-3.585
-1.281,3.182
1.798,1.158
-3.477,0.769
-1.478,1.738
0.316,3.207
2.326,-0.696
-1.450,3.166
1.007,2.014
3.088,-3.019
0.927,3.252
-2.136,3.584
-3.805,3.635
2.961,2.858
-3.830,6.408
2.998,2.129
0.231,3.204
3.513,2.303
2.390,2.320
3.983,3.423
-1.194,3.294
2.138,-3.114
-0.785,3.327
-0.161,3.233
1.020,-3.811
2.989,2.898
3.873,-1.632
2.146,-0.636
-0.658,3.124
-0.629,-1.940
1.901,3.076
-2.090,3.525
-3.116,0.222
-1.163,-3.036
-1.702,-1.312
-1.630,1.930
-2.131,3.386
-3.663,2.357
-3.857,-0.882
3.902,3.608
-0.578,0.890
-0.925,3.246
1.437,-3.620
-2.254,3.577
3.600,1.571
2.291,3.130
-3.285,-1.087
-0.659,2.960
3.033,3.240
3.558,-2.385
-0.261,3.306
0.907,2.822
-2.664,-2.750
3.929,-1.640
-2.147,3.318
3.542,-2.408
1.197,2.189
0.862,-0.289
0.102,2.623
-2.155,-2.930
-2.588,3.846
-2.236,3.444
-2.508,3.677
2.237,2.738
-1.199,-2.039
-3.537,3.300
3.753,-2.138
3.070,-3.126
3.422,-1.824
3.959,1.864
-2.609,3.460
-0.830,3.049
2.066,0.490
1.568,-1.288
-2.769,3.909
2.527,-0.015
-2.204,-0.370
-2.209,-2.722
0.296,3.149
0.744,2.838
0.641,-2.061
-3.268,-3.011
3.020,2.027
-1.875,2.675
-2.964,-1.607
3.110,3.384
3.645,-2.178
2.897,0.050
2.476,3.191
1.242,0.497
0.407,2.681
-3.304,-0.950
-0.732,-0.852
