z,u_wc
0.279,-0.160
-0.730,-0.302
-1.197,-0.558
0.747,1.299
-2.463,-3.519
-2.888,-2.873
0.164,-0.586
-0.255,-0.709
-3.124,-2.890
-3.062,-2.223
0.538,-0.260
-2.285,-3.582
-1.214,-1.220
-0.964,-1.092
-1.236,-1.220
-1.580,-1.693
-1.473,-2.059
-0.242,-0.533
-1.074,-1.178
-1.667,-1.555
0.058,-0.155
-0.792,-0.959
-1.236,-0.788
-1.358,-0.709
-0.751,-0.133
-0.574,-0.045
-2.221,-1.600
-2.863,-2.313
0.663,0.216
-0.662,-0.160
-3.378,-1.941
0.225,-0.052
-1.068,-0.773
-0.637,-0.865
-1.708,-1.334
0.110,-0.160
-2.212,-1.600
-1.055,-0.547
-1.346,-1.602
-0.013,0.041
-0.709,-0.310
0.578,0.416
-1.695,-1.683
-0.829,-0.722
-0.716,-0.684
-1.122,-0.854
-0.548,-0.037
-1.200,-0.773
0.569,-0.341
-0.943,-0.547
0.915,0.581
-0.834,-0.319
-2.892,-3.244
-2.027,-1.743
-0.432,-0.061
-1.664,-1.635
-0.736,-0.608
-2.660,-2.364
-2.845,-3.005
-2.159,-3.582
-2.661,-1.862
-1.331,-1.261
-1.756,-1.635
-0.004,-0.375
-2.025,-3.605
-1.120,-0.762
-0.425,-0.418
-0.249,-0.039
-1.282,-0.683
-0.301,-0.149
-0.533,-0.283
-2.377,-3.582
-0.682,-0.336
0.538,-0.260
-1.397,-1.182
-1.947,-1.819
-0.777,-1.057
-0.956,-0.849
-1.359,-0.819
-0.774,-1.039
-0.385,-0.953
-1.372,-1.068
-0.775,-0.211
-0.778,-0.319
-0.278,0.127
1.752,-1.670
1.197,0.639
-0.483,-0.667
-1.275,-0.736
-1.459,-0.558
-1.034,-0.495
-0.517,-0.426
-0.972,-0.403
-0.272,-0.588
1.145,0.858
-1.204,-1.140
-0.000,-1.590
-0.811,-0.319
-0.890,-0.547
-1.612,-0.942
-2.637,-3.299
-1.210,-1.416
-1.852,-1.663
-0.412,-0.900
-0.546,-0.459
-4.189,-0.996
-0.749,-0.933
-0.507,-0.400
-1.184,-0.290
-1.040,-1.645
-1.526,-0.714
-0.125,-0.507
-0.576,-0.426
-1.421,-1.094
-0.506,-0.400
-0.013,-0.654
-0.882,-1.510
-1.965,-0.779
0.559,0.389
-1.108,-1.152
-1.009,-0.631
0.255,0.213
-0.505,-0.389
-0.079,-0.497
-1.444,-1.003
0.348,1.107
-1.792,-1.038
-2.316,-0.570
0.855,0.618
-1.958,-1.308
-0.942,-0.812
-2.030,-1.076
0.214,-0.991
-2.973,-1.817
0.507,0.648
