z,u_wc
-0.608,-0.205
-2.079,-1.770
-0.568,0.032
-0.300,-0.044
-0.533,-0.673
-0.027,0.402
0.183,-0.202
-1.666,-1.267
-1.710,-1.714
0.238,0.173
0.637,0.735
-1.505,-1.426
-0.469,-0.129
-0.702,-1.856
0.468,0.586
-0.219,-0.408
-0.380,-0.540
-1.464,-1.480
-0.674,-1.472
0.729,0.834
-0.948,-1.647
-0.859,-1.271
-0.228,-0.252
-3.126,-3.224
-0.171,-0.044
-1.376,-1.095
-1.150,-1.049
1.279,0.632
-1.397,-1.042
-1.491,-1.209
0.875,0.760
-1.390,-3.203
-2.285,-1.183
-1.153,-0.930
-1.885,-2.113
-1.258,-2.302
-1.307,-0.402
-3.356,-3.050
-1.785,-2.239
-1.293,-0.712
-1.646,-1.240
-2.394,-2.457
-0.846,-0.770
-1.701,-1.522
-0.108,-0.978
-1.462,-1.480
-0.465,-0.460
-0.046,-1.525
-2.197,-1.840
-2.113,-1.277
-0.193,-0.223
-1.896,-2.032
-1.209,-1.487
-1.524,-1.951
-1.611,-0.564
-2.359,-2.485
-0.042,-0.199
-2.737,-2.994
-1.599,-2.032
-0.670,-0.466
-2.758,-1.800
0.084,-0.221
-0.370,0.093
-1.582,-2.375
-0.961,-0.877
-1.529,-2.050
0.957,0.252
-3.354,-3.178
-1.413,-1.220
-0.701,-0.589
-1.655,-1.304
-1.146,-1.752
-1.146,-0.600
-0.457,-0.309
-1.674,-1.479
-2.461,-2.691
-0.922,-0.851
-1.071,-1.377
-1.150,-1.102
-1.288,-1.674
-1.449,-1.461
-0.162,-0.227
-0.602,0.021
-1.260,-0.122
-1.605,-0.354
-1.010,-0.757
-1.068,-0.877
1.274,0.936
0.064,-0.052
-0.183,-0.867
-1.393,-0.989
-1.355,-1.480
-2.699,-2.884
0.470,0.144
-0.920,-0.388
-1.132,-1.633
-1.044,-0.877
0.111,0.379
-0.230,-0.254
-0.653,-0.691
-0.895,-0.545
0.421,-0.425
-0.522,-0.546
0.884,0.777
-0.103,-0.199
-1.604,-2.104
-1.708,-1.101
-0.226,-1.118
-1.710,-0.990
-2.707,-1.977
-0.261,-0.461
-1.364,-1.069
-1.162,-1.102
-0.642,-0.388
-0.972,-0.851
-0.593,0.032
-0.958,-1.647
0.428,0.146
-1.380,-0.497
-0.711,-1.582
-1.279,-0.904
-1.209,-1.350
-0.905,-1.779
-1.758,-1.181
-2.989,-3.389
-2.663,-1.977
0.991,0.214
0.444,0.038
-1.105,-1.779
-1.289,-1.674
-0.313,0.120
-1.189,-1.315
-0.905,-1.662
-1.247,-0.712
0.795,0.532
-0.895,-0.693
1.362,1.189
1.046,-0.064
