z,u_wc
-0.704,-0.328
-1.675,-3.101
0.935,0.002
-2.791,-3.370
-1.126,-0.815
-0.029,-0.269
-0.069,0.162
-0.211,-0.197
-1.969,-2.041
-1.401,-2.190
0.060,0.052
-0.352,-1.186
-0.922,-0.480
-0.338,-0.524
-0.690,-0.562
-1.518,-1.252
-1.755,-1.314
-1.466,-1.299
0.460,-1.599
-0.374,-0.605
0.217,-0.765
-1.123,-2.225
-1.323,-1.302
-1.685,-1.297
-3.339,-3.334
-2.461,-1.866
-1.075,-1.091
-0.639,-0.566
-2.050,-2.130
-0.797,-1.064
-2.519,-3.271
-1.470,-1.415
-0.864,-1.974
-0.931,-1.141
-2.486,-2.279
-0.505,-0.736
-0.283,-0.205
-0.881,-0.328
0.207,-0.332
0.420,-0.434
-1.114,-1.283
-2.108,-2.176
1.073,0.678
-1.335,-0.800
-0.388,-0.497
0.091,0.550
1.072,1.279
-1.037,-0.815
-1.893,-1.394
-0.452,-1.412
-2.266,-3.210
-1.734,-1.851
-1.669,-1.623
-0.842,-0.470
1.528,1.295
-1.080,-0.868
0.224,-1.173
-0.871,-1.412
-1.645,-1.493
-1.392,-0.775
-1.727,-2.616
0.335,0.847
-2.878,-3.472
-0.912,-1.228
-1.236,-0.094
-1.379,-1.299
-0.696,-1.282
-1.904,-1.058
-2.208,-3.161
-0.342,-0.231
-0.972,-1.028
-0.514,-0.285
-1.017,-1.069
-1.129,-0.868
0.316,-0.309
1.346,1.486
-3.117,-3.391
-0.592,-1.143
-0.413,-0.631
-1.210,-1.238
-1.246,-1.257
-0.210,0.415
0.714,-0.162
-0.076,-0.509
-1.831,-1.676
-0.683,-0.489
-3.207,-3.481
-1.427,-1.144
-1.026,-0.044
-2.258,-3.210
-0.867,-2.105
-1.310,-1.273
-1.157,-1.310
-1.732,-2.344
-2.003,-2.477
0.919,0.713
-2.176,-3.747
-0.078,-0.125
0.095,-0.359
-0.432,-0.285
-1.132,-0.605
0.102,0.645
-1.784,-1.703
-1.202,-1.231
-0.616,-0.021
-0.488,-0.943
-1.465,-1.299
-1.597,-1.797
0.233,-0.487
-0.167,-0.055
-1.690,-1.324
-1.242,-1.257
-3.146,-3.398
0.419,0.708
-0.531,-0.534
-0.873,-0.647
0.269,-0.084
-1.407,-0.824
0.010,-0.442
-2.297,-2.095
-0.916,-1.123
-1.973,-2.041
-1.092,-1.069
-1.348,-0.922
0.031,-1.470
-0.636,-0.527
-0.869,-1.152
0.126,0.333
-1.168,-2.225
-0.448,-0.768
-1.145,-1.220
0.085,0.496
-1.256,-1.257
0.366,-0.282
-0.140,-1.309
-2.392,-3.473
-0.799,-0.837
-1.478,-1.103
1.304,1.688
-1.219,-0.748
-0.887,-1.749
-0.212,0.131
-1.688,-1.812
-1.430,-1.531
-1.846,-2.013
-0.308,-0.429
-0.924,-0.659
-0.551,-0.549
-3.675,-3.049
-0.775,-0.606
2.622,1.424
1.563,2.080
0.424,2.900
0.602,2.914
-0.686,3.285
-0.220,1.365
1.087,0.967
0.993,2.386
-0.045,2.134
0.100,2.974
0.564,1.549
1.065,2.238
-0.333,2.917
1.039,1.419
0.628,2.254
0.811,1.614
0.547,2.888
-0.338,2.044
0.931,2.413
1.130,2.122
0.195,2.947
0.662,2.969
0.134,2.953
0.718,2.534
0.315,2.653
0.319,2.517
1.440,1.942
0.978,1.483
1.241,1.960
2.094,1.964
0.658,1.644
-1.639,3.186
-0.460,3.144
0.291,2.244
0.536,1.921
0.247,2.646
1.816,2.325
1.422,0.675
1.633,1.687
-0.737,3.295
-0.121,2.766
0.284,1.011
2.635,1.263
0.366,2.974
-0.473,0.797
1.076,0.821
0.889,1.999
0.731,2.948
0.098,2.980
-0.674,3.239
-0.186,2.797
1.073,2.529
0.322,2.140
1.192,2.386
1.140,3.096
0.504,2.764
2.306,0.234
2.712,1.492
0.662,1.445
0.898,2.096
0.548,2.672
0.408,2.561
0.003,1.473
2.349,0.158
0.699,1.120
-0.052,2.937
1.503,1.660
-0.397,1.937
0.340,2.646
0.630,2.770
2.459,1.360
0.662,2.948
2.099,1.320
1.298,0.967
-0.474,3.056
0.484,2.457
-0.066,2.717
0.916,2.592
3.572,-1.594
2.762,1.575
0.293,2.646
0.327,2.823
2.177,1.492
-0.299,3.107
0.035,2.828
1.725,1.852
1.569,1.322
0.898,1.445
0.430,2.561
1.758,2.293
1.103,0.982
1.827,1.296
-0.164,2.954
1.285,0.544
1.911,1.936
0.327,1.951
0.484,1.966
1.537,1.931
0.321,2.845
1.930,1.293
0.787,1.614
1.794,1.190
0.861,2.109
3.637,-1.114
-1.217,2.844
0.342,2.927
1.427,2.428
1.728,1.242
1.342,2.214
1.337,3.074
1.489,2.080
-0.510,3.199
1.452,2.428
2.350,1.360
1.597,1.322
1.718,2.293
1.062,0.648
0.943,1.415
1.066,2.465
-0.037,2.096
2.550,0.672
1.410,0.790
-0.623,3.295
0.857,2.389
0.873,2.225
0.388,2.273
0.580,2.046
0.267,2.646
1.132,2.109
0.302,3.020
0.360,2.509
-0.639,3.130
2.227,1.492
1.998,1.320
0.631,2.284
1.262,1.457
1.362,0.849
2.654,-0.226
-0.739,2.669
0.700,2.511
0.351,2.924
0.080,2.427
0.772,2.092
2.195,1.402
2.108,1.320
0.032,2.050
-0.066,2.937
-0.067,0.781
1.295,1.044
1.292,0.902
1.228,3.656
-1.239,3.613
-1.017,-3.591
-0.291,-2.731
-1.962,-1.111
-2.074,-3.575
-1.532,3.613
-3.537,-3.198
-3.549,-3.198
0.690,-3.531
0.424,1.944
0.008,-3.566
-1.498,3.587
-0.758,-3.355
-3.674,2.879
-3.019,-1.551
-1.154,0.137
2.799,2.363
-1.875,-3.330
-1.209,-3.385
-3.689,0.069
-2.924,0.824
-1.424,-0.872
1.602,2.438
0.525,1.816
0.616,3.011
-3.975,-2.508
2.385,1.456
-1.103,-0.149
2.759,0.153
-2.299,3.175
3.587,-1.358
-0.129,3.728
0.294,-2.592
3.915,0.359
-2.288,-0.532
-2.924,-3.500
-0.005,-0.887
2.774,-3.591
2.656,3.763
-0.835,-3.516
3.252,0.548
-1.506,-0.865
3.141,-2.972
-3.148,3.257
1.120,-1.065
1.803,-3.715
3.924,7.987
1.934,3.683
2.373,2.080
0.322,-0.522
-3.734,-3.060
1.432,2.438
-0.799,-3.356
0.182,-0.036
1.069,-3.942
0.639,3.174
1.711,3.646
-3.167,2.618
0.368,-3.832
-2.392,-0.853
1.392,3.542
3.655,-1.007
-0.160,-3.683
-2.321,1.949
-1.392,3.641
2.016,3.448
-2.698,2.898
3.343,-3.001
-0.618,0.047
-0.586,-0.376
1.423,-1.460
0.870,-3.799
2.873,3.932
-2.718,2.596
-2.253,0.035
-0.016,-3.600
-2.995,2.861
-0.506,3.236
-0.369,1.901
0.032,2.989
-3.218,-3.334
-2.758,-3.532
-1.635,3.148
2.887,-3.317
-1.526,-0.691
0.214,3.532
-3.000,2.436
-2.702,3.477
0.027,-2.001
-1.832,-3.587
2.516,3.109
-0.336,-3.091
1.128,3.644
1.269,-3.139
-0.073,-3.727
-0.404,-3.607
3.059,-3.374
0.331,3.532
-0.619,-3.388
0.909,-3.789
-2.304,-3.625
3.958,7.856
-0.294,3.560
-3.435,3.520
-1.466,3.699
-0.837,3.266
-3.708,-2.821
-1.394,-1.307
-2.644,2.898
-1.570,-3.540
0.945,1.489
1.463,3.533
2.221,2.487
0.120,2.098
0.444,-2.027
3.264,1.777
3.658,4.290
3.585,1.468
0.897,0.678
0.490,-0.438
-1.416,-3.458
1.672,0.430
-0.855,3.269
2.496,3.614
-2.966,3.623
-1.123,3.707
-2.750,-3.370
3.138,3.197
-1.748,-0.664
-1.278,-3.598
2.609,-3.523
-0.774,3.764
-0.802,-1.386
1.628,3.567
2.423,3.556
-0.520,-3.717
3.926,5.238
-3.538,6.646
1.780,3.025
-0.020,-2.731
3.029,-3.374
-1.635,-1.596
-2.455,0.685
0.614,-0.463
-1.451,-2.264
-1.336,3.137
-3.192,-2.202
-1.321,-1.531
-2.403,-3.516
0.392,2.587
3.530,-2.054
2.757,-3.621
0.513,-1.715
-2.978,-3.425
1.737,-2.976
-2.275,-3.575
1.294,-3.971
0.573,0.435
3.227,-3.028
1.360,-3.889
3.497,3.817
-2.318,3.205
-0.419,2.959
-0.786,-0.048
1.796,-2.033
-1.942,3.331
-3.500,4.936
3.451,1.379
3.509,2.601
0.754,0.887
-3.146,-3.390
-3.588,4.848
0.999,-2.997
2.199,-3.718
-2.498,3.331
-0.167,3.728
2.273,-3.811
-3.511,-2.006
2.370,3.621
3.275,2.766
-0.493,3.482
-2.072,2.548
-0.876,3.627
-0.846,-3.609
-2.325,0.129
-1.431,0.121
-0.245,2.988
3.136,-3.088
2.406,-3.628
0.180,1.390
-3.068,1.853
-0.098,-2.731
0.587,3.749
-0.978,1.953
-1.518,-1.360
-1.869,-1.729
-1.979,-3.559
3.346,2.882
2.651,-3.642
