z,u,x1,x2
-0.957,-0.531,8.571,18.571
-0.472,0.190,8.571,18.571
-1.683,-0.945,0.000,25.000
-2.108,0.163,0.000,25.000
-2.059,-1.337,0.000,25.000
-0.815,0.473,8.571,18.571
0.856,1.310,8.571,18.571
-1.428,-0.507,0.000,25.000
-2.640,-2.031,0.000,25.000
0.274,0.712,8.571,18.571
-0.962,-0.064,8.571,18.571
-2.990,-2.242,0.000,25.000
-1.331,0.228,0.000,25.000
-1.073,0.278,0.000,25.000
-1.639,-0.110,0.000,25.000
0.080,1.591,8.571,18.571
-0.928,0.190,8.571,18.571
-1.158,0.891,0.000,25.000
0.500,2.385,8.571,18.571
-0.839,1.128,8.571,18.571
-2.480,-0.838,0.000,25.000
-2.502,-0.069,0.000,25.000
-0.252,0.381,8.571,18.571
-0.670,0.915,8.571,18.571
-0.087,1.552,8.571,18.571
-0.389,-0.064,8.571,18.571
0.274,0.770,8.571,18.571
0.247,1.572,8.571,18.571
-2.111,-0.505,0.000,25.000
-0.503,0.692,8.571,18.571
-1.224,0.214,0.000,25.000
-1.451,-0.393,0.000,25.000
0.816,1.710,8.571,18.571
-0.885,-0.325,8.571,18.571
-0.334,-0.155,8.571,18.571
-0.855,0.465,8.571,18.571
-2.662,-2.302,0.000,25.000
-0.673,-0.281,8.571,18.571
-0.841,0.017,8.571,18.571
-2.098,-0.482,0.000,25.000
-1.118,-0.191,0.000,25.000
-2.182,-1.069,0.000,25.000
-1.922,-1.955,0.000,25.000
-2.495,-1.886,0.000,25.000
0.045,1.016,8.571,18.571
-0.076,1.284,8.571,18.571
-0.652,0.530,8.571,18.571
-0.002,0.857,8.571,18.571
-1.032,-0.152,0.000,25.000
-2.695,-1.325,0.000,25.000
-0.606,-0.780,8.571,18.571
-1.750,0.032,0.000,25.000
-0.283,0.592,8.571,18.571
2.264,2.477,8.571,18.571
0.944,2.010,8.571,18.571
-0.824,0.109,8.571,18.571
-0.908,0.737,8.571,18.571
0.193,1.146,8.571,18.571
-1.509,-0.623,0.000,25.000
-0.653,-0.175,8.571,18.571
-0.909,0.545,8.571,18.571
0.966,1.866,8.571,18.571
-0.424,0.532,8.571,18.571
-2.541,-1.823,0.000,25.000
-2.761,-1.065,0.000,25.000
-1.056,-0.001,0.000,25.000
-0.911,-0.433,8.571,18.571
-1.401,-0.788,0.000,25.000
-0.339,-0.728,8.571,18.571
-0.350,0.988,8.571,18.571
-0.040,1.171,8.571,18.571
-0.832,0.794,8.571,18.571
-2.250,-1.137,0.000,25.000
-0.999,0.027,0.000,25.000
-1.356,0.397,0.000,25.000
-2.955,-2.798,-0.000,25.000
-0.456,1.407,8.571,18.571
0.518,0.650,8.571,18.571
-2.920,-2.094,-0.000,25.000
-0.602,0.076,8.571,18.571
-1.193,-0.910,0.000,25.000
-2.921,-1.445,-0.000,25.000
-0.776,-0.125,8.571,18.571
-1.433,0.227,0.000,25.000
-3.960,-2.006,8.571,18.571
-1.975,-0.947,0.000,25.000
-2.060,-1.279,0.000,25.000
-1.685,0.055,0.000,25.000
-1.365,-0.786,0.000,25.000
0.296,1.613,8.571,18.571
-1.422,0.166,0.000,25.000
-0.935,-0.175,8.571,18.571
-2.315,-0.685,0.000,25.000
1.481,1.521,8.571,18.571
-1.103,-0.144,0.000,25.000
-1.083,0.438,0.000,25.000
-2.586,-2.238,0.000,25.000
-0.928,0.056,8.571,18.571
-0.808,-0.582,8.571,18.571
-1.455,-0.432,0.000,25.000
-3.056,-1.813,-0.000,25.000
0.138,0.191,8.571,18.571
-0.670,-0.144,8.571,18.571
-0.707,0.511,8.571,18.571
-1.284,-0.162,0.000,25.000
-2.450,-1.192,0.000,25.000
-3.625,-2.523,8.571,18.571
-0.141,-0.087,8.571,18.571
-0.040,1.534,8.571,18.571
-1.587,-0.644,0.000,25.000
-0.506,-0.068,8.571,18.571
-0.881,0.197,8.571,18.571
0.685,2.143,8.571,18.571
0.817,2.030,8.571,18.571
-1.050,0.135,0.000,25.000
-0.920,1.151,8.571,18.571
-1.882,-0.480,0.000,25.000
-0.806,0.146,8.571,18.571
-2.252,-0.428,0.000,25.000
-2.314,-1.343,0.000,25.000
-1.158,0.051,0.000,25.000
-0.527,0.024,8.571,18.571
-1.308,-0.008,0.000,25.000
-1.473,-0.521,0.000,25.000
-0.534,0.782,8.571,18.571
-1.090,-0.671,0.000,25.000
-2.140,-0.660,0.000,25.000
-0.564,-0.357,8.571,18.571
0.014,1.289,8.571,18.571
-0.415,0.412,8.571,18.571
-0.189,1.331,8.571,18.571
0.810,1.780,8.571,18.571
-1.530,-0.143,0.000,25.000
-1.072,-0.843,0.000,25.000
-0.373,0.156,8.571,18.571
0.669,0.555,8.571,18.571
-1.827,-0.081,0.000,25.000
-0.700,0.785,8.571,18.571
-1.223,-0.795,0.000,25.000
-0.905,0.122,8.571,18.571
-1.736,-0.667,0.000,25.000
0.074,2.232,8.571,18.571
-1.055,-0.683,0.000,25.000
0.734,1.183,8.571,18.571
-0.453,0.118,8.571,18.571
-0.227,0.129,8.571,18.571
-1.195,-0.858,0.000,25.000
-1.726,-0.297,0.000,25.000
0.576,1.277,8.571,18.571
-1.913,-0.813,0.000,25.000
0.621,4.218,8.571,18.571
1.870,1.792,8.571,18.571
0.623,3.157,8.571,18.571
1.262,3.871,8.571,18.571
1.272,2.893,8.571,18.571
0.324,2.078,8.571,18.571
1.694,2.134,8.571,18.571
1.737,2.870,8.571,18.571
-0.259,3.713,8.571,18.571
-0.181,3.765,8.571,18.571
0.574,3.110,8.571,18.571
1.946,1.437,8.571,18.571
2.844,1.774,8.571,18.571
0.105,4.590,8.571,18.571
1.562,2.975,8.571,18.571
3.203,1.589,8.571,18.571
