z,u,x1,x2
0.279,0.606,16.000,0.000
-0.730,0.941,8.571,18.571
-1.197,0.495,0.000,25.000
0.747,2.190,8.571,18.571
-2.463,-1.714,-0.000,25.000
-2.888,-2.521,-0.000,25.000
0.164,-0.103,16.000,0.000
-0.255,-0.050,8.571,18.571
-3.124,-1.748,-0.000,25.000
-3.062,-0.895,0.000,25.000
0.538,0.567,16.000,0.000
-2.285,-1.860,0.000,25.000
-1.214,-0.508,0.000,25.000
-0.964,-0.235,0.000,25.000
-1.236,-0.588,0.000,25.000
-1.580,-1.055,0.000,25.000
-1.473,-1.303,0.000,25.000
-0.242,0.140,8.571,18.571
-1.074,-0.433,0.000,25.000
-1.667,-0.496,0.000,25.000
0.058,0.701,8.571,18.571
-0.792,-0.018,8.571,18.571
-1.236,0.076,0.000,25.000
-1.358,0.272,0.000,25.000
-0.751,1.168,8.571,18.571
-0.574,1.386,8.571,18.571
-2.221,-0.247,0.000,25.000
-2.863,-0.816,-0.000,25.000
0.663,0.892,8.571,18.571
-0.662,1.142,8.571,18.571
-3.378,-2.731,8.571,18.571
0.225,0.609,16.000,0.000
-1.068,0.135,0.000,25.000
-0.637,-0.007,8.571,18.571
-1.708,-0.361,0.000,25.000
0.110,0.600,8.571,18.571
-2.212,-0.242,0.000,25.000
-1.055,0.372,0.000,25.000
-1.346,-0.825,0.000,25.000
-0.013,0.907,8.571,18.571
-0.709,0.750,8.571,18.571
0.578,1.342,16.000,0.000
-1.695,-0.797,0.000,25.000
-0.829,0.123,8.571,18.571
-0.716,0.160,8.571,18.571
-1.122,-0.113,0.000,25.000
-0.548,1.249,8.571,18.571
-1.200,0.090,0.000,25.000
0.569,0.390,16.000,0.000
-0.943,0.431,8.571,18.571
0.915,1.333,8.571,18.571
-0.834,0.867,8.571,18.571
-2.892,-2.195,-0.000,25.000
-2.027,-0.780,0.000,25.000
-0.432,1.194,8.571,18.571
-1.664,-0.553,0.000,25.000
-0.736,0.208,8.571,18.571
-2.660,-0.982,-0.000,25.000
-2.845,-1.625,-0.000,25.000
-2.159,-1.763,0.000,25.000
-2.661,-0.289,-0.000,25.000
-1.331,-0.398,0.000,25.000
-1.756,-0.595,0.000,25.000
-0.004,0.202,8.571,18.571
-2.025,-1.876,0.000,25.000
