z,u_wc
-0.957,-0.917
-0.472,-0.467
-1.683,-1.624
-2.108,-1.219
-2.059,-2.083
-0.815,-0.617
0.856,0.287
-1.428,-1.081
-2.640,-3.021
0.274,-0.071
-0.962,-0.864
-2.990,-2.769
-1.331,-0.806
-1.073,-0.812
-1.639,-1.019
0.080,0.233
-0.928,-0.753
-1.158,-0.472
0.500,1.201
-0.839,-0.355
-2.480,-2.184
-2.502,-1.509
-0.252,-0.389
-0.670,-0.338
-0.087,0.209
-0.389,-0.634
0.274,0.025
0.247,0.337
-2.111,-1.672
-0.503,-0.330
-1.224,-0.780
-1.451,-1.044
0.816,0.680
-0.885,-0.838
-0.334,-0.634
-0.855,-0.591
-2.662,-3.090
-0.673,-0.746
-0.841,-0.748
-2.098,-1.672
-1.118,-0.896
-2.182,-2.005
-1.922,-3.043
-2.495,-2.797
0.045,-0.057
-0.076,0.101
-0.652,-0.504
-0.002,-0.108
-1.032,-0.859
-2.695,-2.370
-0.606,-1.107
-1.750,-1.045
-0.283,-0.275
2.264,1.199
0.944,1.135
-0.824,-0.701
-0.908,-0.462
0.193,0.159
-1.509,-1.199
-0.653,-0.746
-0.909,-0.577
0.966,1.004
-0.424,-0.389
-2.541,-2.825
-2.761,-2.338
-1.056,-0.864
-0.911,-0.916
-1.401,-1.278
-0.339,-0.982
-0.350,-0.196
-0.040,0.041
-0.832,-0.436
-2.250,-2.109
-0.999,-0.827
-1.356,-0.776
-2.955,-2.853
-0.456,-0.072
0.518,-0.059
-2.920,-2.797
-0.602,-0.623
-1.193,-1.468
-2.921,-2.363
-0.776,-0.825
-1.433,-0.850
-3.960,-2.006
-1.975,-1.844
-2.060,-2.028
-1.685,-0.932
-1.365,-1.265
0.296,0.429
-1.422,-0.850
-0.935,-0.833
-2.315,-1.941
1.481,0.446
-1.103,-0.885
-1.083,-0.678
-2.586,-3.055
-0.928,-0.801
-0.808,-0.906
-1.455,-1.081
-3.056,-2.538
0.138,-0.315
-0.670,-0.746
-0.707,-0.498
-1.284,-0.896
-2.450,-2.173
