z,u_wc
-1.107,-0.839
-0.561,-0.435
1.028,-0.476
-0.999,-1.273
-1.670,-1.053
-1.067,-0.810
0.144,0.450
0.817,0.710
-0.051,0.048
-0.396,-1.267
0.017,-0.446
-0.510,-0.288
-0.066,0.617
-0.739,-0.417
-2.610,-3.504
-0.454,-0.382
-0.468,-0.033
-1.224,-0.569
-0.586,-0.355
-0.448,-0.382
-1.399,-0.966
0.076,-0.101
-0.331,-0.224
0.425,0.428
-1.648,-2.385
-1.321,-0.367
-0.151,-0.202
-1.256,-1.213
-1.307,-2.331
-1.087,-0.896
-0.688,-0.631
-1.574,-0.941
-1.132,-0.922
-1.283,-1.359
-0.463,-0.235
-2.614,-2.458
-1.154,-0.535
-2.258,-1.614
0.717,0.824
-3.275,-2.593
-0.756,-0.634
-0.204,-0.081
-1.055,-0.695
-0.605,-0.570
-0.700,-0.563
-0.065,-0.686
-0.627,-0.580
-0.343,-0.356
-1.673,-1.499
0.979,1.600
-1.227,-0.862
-1.798,-1.489
-0.349,0.249
-0.235,-0.224
-1.209,-2.149
-2.145,-2.632
-1.284,-0.295
1.072,0.411
-1.035,-1.412
-0.028,0.053
-1.213,-1.270
-1.095,-1.768
-1.726,-3.219
-1.682,-0.918
-0.807,-0.298
0.439,-0.190
0.912,0.772
-2.646,-2.645
-2.609,-1.343
-1.128,-1.160
-1.531,-0.941
-1.125,-0.839
-0.708,-0.539
-2.246,-2.632
-1.243,-1.268
-0.908,-1.179
-1.178,-1.045
-1.787,-1.883
-2.434,-1.764
-1.419,-1.349
-1.522,-0.992
-1.288,-0.617
-2.081,-2.269
-1.033,-0.394
0.068,-0.029
0.246,0.275
-2.235,-2.030
-1.342,-0.940
-2.102,-2.438
-1.614,-1.419
-0.575,-0.555
0.792,0.383
-0.743,-0.417
-1.954,-1.094
-0.976,-0.479
-0.394,-0.008
-1.458,-0.892
-0.288,-1.717
-2.082,-1.570
0.900,0.631
-1.784,-1.526
-3.040,-2.730
-0.497,-1.396
-0.776,-0.614
-1.529,-0.768
-0.412,-0.008
-2.798,-3.413
-0.714,-0.272
-2.038,-2.371
-0.721,-1.291
-1.532,-1.721
-0.972,-0.887
-1.659,-1.829
-0.107,0.013
-1.982,-2.290
-2.936,-2.925
-0.707,-0.539
-1.853,-1.155
-3.434,-2.926
-2.105,-1.605
-1.718,-2.358
-1.923,-1.964
-2.610,-2.083
-1.000,-1.578
0.175,-0.325
-2.218,-2.370
0.916,0.772
0.451,0.590
-3.405,-1.732
-1.431,-1.689
0.369,-0.127
-2.024,-2.018
-0.577,-0.461
0.278,-0.299
-0.901,-0.617
0.095,0.052
-1.698,-1.904
-0.704,-2.058
0.878,0.772
-1.940,-2.263
-2.295,-2.030
-2.793,-1.563
-1.691,-1.768
-1.303,-0.921
-1.505,-0.941
-1.505,-0.992
-1.037,-0.595
-0.500,-0.302
-1.136,-0.644
-1.310,-1.294
0.327,2.623
1.686,1.168
1.481,2.438
-0.329,2.525
2.402,1.288
0.481,1.620
2.032,1.563
0.180,2.501
1.597,1.155
0.854,0.987
0.867,1.518
0.702,1.531
0.353,2.407
0.366,2.457
0.637,1.569
0.250,2.003
1.835,1.207
3.566,1.761
0.423,0.744
-0.028,2.700
0.644,2.383
2.535,1.182
1.125,1.142
1.279,1.618
1.196,2.505
-0.262,2.407
1.088,2.322
1.746,-1.589
2.935,-0.468
1.269,1.900
0.168,2.282
0.792,1.396
1.970,1.123
1.289,2.079
-0.172,2.583
0.511,2.149
1.505,1.303
1.690,0.517
1.418,1.102
1.729,1.180
0.999,2.078
0.231,2.468
1.489,1.560
-0.353,2.930
0.563,2.122
0.762,2.078
1.230,1.166
1.189,2.579
0.562,1.471
0.409,2.549
1.071,1.021
1.498,1.560
1.231,1.974
0.799,2.278
1.183,1.557
1.393,1.940
1.305,2.079
-0.288,2.847
0.593,2.606
2.144,0.242
2.473,1.424
-0.073,2.017
1.323,0.524
3.391,1.339
1.156,2.484
2.001,1.217
1.330,1.691
0.733,0.350
0.290,1.658
-0.062,2.549
1.787,1.128
0.299,2.504
3.254,0.533
2.025,2.305
2.112,1.617
0.590,1.568
1.065,1.679
0.233,1.477
-0.171,2.528
-0.266,2.246
-1.228,2.539
0.426,1.471
1.555,1.613
0.734,2.383
1.897,1.207
1.747,1.664
0.748,2.183
-0.166,2.828
0.578,2.217
2.150,1.119
2.557,0.862
-0.930,2.400
-0.518,2.298
0.740,2.139
2.055,1.217
2.398,1.155
0.763,1.531
1.411,1.901
-0.064,2.135
-0.370,2.188
0.473,0.560
-0.732,2.145
1.382,1.504
0.183,2.538
0.429,2.400
2.003,1.717
-0.243,2.681
0.828,2.278
2.020,1.404
-0.744,2.457
1.250,1.986
2.176,1.663
1.732,1.533
1.142,2.000
1.666,2.181
1.027,2.561
-0.746,2.272
1.748,1.458
-0.115,2.610
-0.544,2.272
1.515,1.541
0.981,2.319
2.221,1.717
0.847,2.112
1.675,2.041
0.784,2.304
1.289,0.524
1.319,1.480
1.326,1.602
2.361,1.071
2.430,0.962
0.527,2.348
2.294,0.781
1.799,1.458
2.608,1.559
0.551,1.666
1.580,1.552
1.188,1.992
1.559,1.894
