z,u_wc
-1.944,-1.434
-1.527,-1.632
-1.335,-1.435
-0.752,-0.935
-1.182,-0.659
-0.187,-0.089
-2.336,-2.766
-0.886,-0.423
-1.041,-1.014
-2.118,-2.928
-0.721,-0.903
0.788,0.389
-0.486,-0.837
-0.799,-0.807
-2.045,-1.865
-0.942,-0.944
-0.429,-0.565
-0.741,-1.027
0.473,0.422
-1.176,-1.388
1.397,1.717
-0.871,-0.961
-0.995,-0.659
-2.021,-2.310
-1.471,-0.560
-1.333,-1.560
-0.338,0.445
0.441,1.033
-0.425,-0.218
-1.384,-2.652
-1.292,-0.586
-2.561,-1.788
-0.059,-0.062
-0.913,-0.633
-0.297,-0.284
-0.641,-0.549
-1.083,-1.310
-1.681,-0.720
-0.122,0.346
-1.071,-1.212
-0.539,-0.765
-0.223,-0.956
-0.958,-0.988
-2.227,-2.688
-0.092,-0.178
-0.221,0.259
-1.320,-1.023
-1.928,-2.466
-0.814,-0.576
-0.870,-1.243
-0.628,-0.824
-0.655,-1.221
-1.700,-2.443
-0.289,-0.284
-0.676,-0.684
-1.047,-1.142
-2.891,-2.798
-0.644,-1.221
-0.690,-0.896
-2.937,-2.737
-2.194,-1.611
-2.315,-3.244
-1.526,-1.299
-1.907,-2.087
-0.693,-0.568
-1.874,-1.638
0.890,0.690
-0.966,-1.060
-2.436,-2.009
-0.390,-0.363
-2.196,-1.554
-0.772,-1.054
-1.109,-2.220
-0.613,-0.220
-0.541,-0.193
-2.890,-1.872
-2.004,-1.434
-1.598,-2.395
-2.047,-2.337
0.023,-0.569
-0.047,0.079
-3.089,-1.538
-1.219,-1.435
-2.653,-2.968
-0.546,0.073
-0.458,-0.126
-0.301,-0.253
-1.324,-1.547
-1.490,-0.971
-3.680,-2.043
-2.354,-2.605
-1.241,-0.375
-2.665,-2.342
0.221,0.329
-1.065,-1.116
-1.547,-1.564
-0.966,-0.987
-0.897,-0.607
-0.312,-1.064
-1.388,-2.652
-0.377,-0.280
-0.053,-0.001
-2.237,-1.776
0.419,0.553
-0.847,-1.826
-0.761,-0.568
-0.292,-0.149
-1.377,-1.027
-0.215,-0.734
-1.230,-1.363
-1.132,-0.450
-0.774,-0.299
-0.540,-0.468
0.236,0.636
-0.710,-1.128
-0.184,-0.179
-0.286,-0.106
-0.286,-0.079
-1.858,-1.327
-0.701,-0.376
-2.114,-2.748
-1.519,-1.564
-0.763,-0.787
-0.448,-0.114
-1.384,-0.671
0.278,0.611
-0.038,0.205
-1.874,-2.594
-1.142,-1.479
0.355,0.384
-0.197,0.205
-0.639,-0.658
-0.940,-0.423
-1.111,-1.086
-2.879,-1.900
-0.203,-0.318
1.523,0.072
-1.580,-0.971
-2.556,-1.957
-0.633,-0.857
-0.990,-0.988
-2.736,-2.911
-1.446,-1.434
-0.996,-1.116
-1.351,-0.709
-0.533,-0.468
-1.234,-1.353
0.501,-0.172
-1.044,-1.369
-0.935,-2.290
1.151,1.572
0.122,2.624
1.988,0.693
-3.426,3.404
0.228,2.624
0.864,1.668
0.689,1.448
1.967,0.559
0.688,1.952
1.269,1.988
1.488,1.965
0.161,2.921
1.640,1.657
-1.101,2.718
1.094,1.744
1.227,1.765
0.054,2.570
1.233,1.565
-0.346,2.458
0.626,2.628
1.039,1.747
2.543,0.674
0.160,2.735
1.357,2.757
1.081,2.585
-0.149,2.455
0.928,1.792
0.597,1.218
1.484,1.686
