z,u,x1,x2
-0.704,1.128,0.000,25.000
-1.675,-1.690,-0.000,25.000
0.935,0.850,8.571,18.571
-2.791,-1.736,-0.000,25.000
-1.126,0.225,0.000,25.000
-0.029,0.857,8.571,18.571
-0.069,1.314,8.571,18.571
-0.211,1.017,8.571,18.571
-1.969,-1.043,-0.000,25.000
-1.401,-1.166,0.000,25.000
0.060,1.199,8.571,18.571
-0.352,-0.244,0.000,25.000
-0.922,0.838,0.000,25.000
-0.338,0.678,0.000,25.000
-0.690,0.432,0.000,25.000
-1.518,-0.144,0.000,25.000
-1.755,-0.233,-0.000,25.000
-1.466,-0.342,0.000,25.000
0.460,-0.484,8.571,18.571
-0.374,0.123,0.000,25.000
0.217,0.118,8.571,18.571
-1.123,-1.302,0.000,25.000
-1.323,-0.471,0.000,25.000
-1.685,-0.135,-0.000,25.000
-3.339,-1.472,-0.000,25.000
-2.461,-0.547,-0.000,25.000
-1.075,-0.018,0.000,25.000
-0.639,0.551,0.000,25.000
-2.050,-1.062,-0.000,25.000
-0.797,-0.201,0.000,25.000
-2.519,-1.507,-0.000,25.000
-1.470,-0.595,0.000,25.000
-0.864,-1.015,0.000,25.000
-0.931,-0.321,0.000,25.000
-2.486,-0.996,-0.000,25.000
-0.505,0.037,0.000,25.000
-0.283,1.073,8.571,18.571
-0.881,1.195,0.000,25.000
0.207,0.789,8.571,18.571
0.420,0.498,8.571,18.571
-1.114,-0.627,0.000,25.000
-2.108,-1.088,-0.000,25.000
1.073,1.526,8.571,18.571
-1.335,0.444,0.000,25.000
-0.388,0.400,0.000,25.000
0.091,1.861,8.571,18.571
1.072,2.212,8.571,18.571
-1.037,0.141,0.000,25.000
-1.893,-0.243,-0.000,25.000
-0.452,-0.561,0.000,25.000
-2.266,-1.674,-0.000,25.000
-1.734,-0.935,-0.000,25.000
-1.669,-0.711,0.000,25.000
-0.842,0.698,0.000,25.000
1.528,2.283,8.571,18.571
-1.080,0.120,0.000,25.000
0.224,-0.029,8.571,18.571
-0.871,-0.653,0.000,25.000
-1.645,-0.443,0.000,25.000
-1.392,0.542,0.000,25.000
-1.727,-1.413,0.000,25.000
0.335,2.178,8.571,18.571
-2.878,-2.374,-0.000,25.000
-0.912,-0.550,0.000,25.000
-1.236,1.598,0.000,25.000
-1.379,-0.354,0.000,25.000
-0.696,-0.508,0.000,25.000
-1.904,0.255,-0.000,25.000
-2.208,-1.542,-0.000,25.000
-0.342,1.070,0.000,25.000
-0.972,-0.059,0.000,25.000
-0.514,0.990,0.000,25.000
-1.017,-0.055,0.000,25.000
-1.129,0.115,0.000,25.000
0.316,0.633,8.571,18.571
1.346,2.539,8.571,18.571
-3.117,-1.474,-0.000,25.000
-0.592,-0.325,0.000,25.000
-0.413,0.163,0.000,25.000
-1.210,-0.397,0.000,25.000
-1.246,-0.527,0.000,25.000
-0.210,1.849,8.571,18.571
0.714,0.906,8.571,18.571
-0.076,0.549,8.571,18.571
-1.831,-0.603,-0.000,25.000
-0.683,0.618,0.000,25.000
-3.207,-1.975,-0.000,25.000
-1.427,0.020,0.000,25.000
-1.026,1.742,0.000,25.000
-2.258,-1.620,-0.000,25.000
-0.867,-1.194,0.000,25.000
-1.310,-0.309,0.000,25.000
-1.157,-0.569,0.000,25.000
-1.732,-1.329,-0.000,25.000
-2.003,-1.266,-0.000,25.000
0.919,1.603,8.571,18.571
-2.176,-2.212,-0.000,25.000
-0.078,1.124,8.571,18.571
0.095,0.806,8.571,18.571
-0.432,0.969,0.000,25.000
-1.132,0.625,0.000,25.000
0.102,2.006,8.571,18.571
-1.784,-0.675,-0.000,25.000
-1.202,-0.523,0.000,25.000
-0.616,1.464,0.000,25.000
-0.488,-0.242,0.000,25.000
-1.465,-0.332,0.000,25.000
-1.597,-0.909,0.000,25.000
0.233,0.521,8.571,18.571
-0.167,1.250,8.571,18.571
-1.690,-0.161,-0.000,25.000
-1.242,-0.590,0.000,25.000
-3.146,-2.270,-0.000,25.000
0.419,1.936,8.571,18.571
-0.531,0.281,0.000,25.000
-0.873,0.336,0.000,25.000
0.269,0.989,8.571,18.571
-1.407,0.412,0.000,25.000
0.010,0.629,8.571,18.571
-2.297,-0.922,-0.000,25.000
-0.916,-0.389,0.000,25.000
-1.973,-1.000,-0.000,25.000
-1.092,-0.043,0.000,25.000
-1.348,0.178,0.000,25.000
0.031,-0.445,8.571,18.571
-0.636,0.323,0.000,25.000
-0.869,-0.326,0.000,25.000
0.126,1.451,8.571,18.571
-1.168,-1.234,0.000,25.000
-0.448,0.047,0.000,25.000
-1.145,-0.392,0.000,25.000
0.085,1.808,8.571,18.571
-1.256,-0.538,0.000,25.000
0.366,0.609,8.571,18.571
-0.140,-0.360,8.571,18.571
-2.392,-1.845,-0.000,25.000
-0.799,-0.069,0.000,25.000
-1.478,0.094,0.000,25.000
1.304,2.743,8.571,18.571
-1.219,0.465,0.000,25.000
-0.887,-0.872,0.000,25.000
-0.212,1.547,8.571,18.571
-1.688,-0.865,-0.000,25.000
-1.430,-0.819,0.000,25.000
-1.846,-1.024,-0.000,25.000
-0.308,0.796,8.571,18.571
-0.924,0.391,0.000,25.000
-0.551,0.386,0.000,25.000
-3.675,-2.079,8.571,18.571
-0.775,0.335,0.000,25.000
2.622,2.531,8.571,18.571
1.563,3.254,8.571,18.571
0.424,4.236,8.571,18.571
0.602,4.165,8.571,18.571
-0.686,5.020,0.000,25.000
-0.220,2.695,8.571,18.571
1.087,1.980,8.571,18.571
0.993,3.564,8.571,18.571
-0.045,2.996,8.571,18.571
