z,u_wc
0.279,0.036
-0.730,-0.002
-1.197,-0.410
0.747,1.333
-2.463,-2.065
-2.888,-2.119
0.164,-0.183
-0.255,-0.492
-3.124,-2.011
-3.062,-1.848
0.538,0.366
-2.285,-1.983
-1.214,-1.040
-0.964,-0.752
-1.236,-1.060
-1.580,-1.573
-1.473,-1.545
-0.242,-0.469
-1.074,-1.007
-1.667,-1.120
0.058,-0.048
-0.792,-0.665
-1.236,-0.572
-1.358,-0.526
-0.751,-0.017
-0.574,0.143
-2.221,-1.270
-2.863,-1.926
0.663,0.385
-0.662,0.009
-3.378,-2.731
0.225,0.056
-1.068,-0.538
-0.637,-0.584
-1.708,-1.113
0.110,-0.048
-2.212,-1.210
-1.055,-0.449
-1.346,-1.245
-0.013,0.044
-0.709,-0.134
0.578,0.617
-1.695,-1.522
-0.829,-0.510
-0.716,-0.496
-1.122,-0.718
-0.548,0.076
-1.200,-0.564
0.569,0.070
-0.943,-0.398
0.915,0.627
-0.834,-0.065
-2.892,-2.119
-2.027,-1.746
-0.432,0.078
-1.664,-1.172
-0.736,-0.475
-2.660,-2.008
-2.845,-2.118
-2.159,-1.911
-2.661,-1.721
-1.331,-1.048
-1.756,-1.335
-0.004,-0.325
-2.025,-1.830
-1.120,-0.526
-0.425,-0.151
-0.249,0.047
-1.282,-0.433
-0.301,-0.009
-0.533,-0.108
-2.377,-2.038
-0.682,-0.108
0.538,0.366
-1.397,-1.075
-1.947,-1.780
-0.777,-0.769
-0.956,-0.614
-1.359,-0.716
-0.774,-0.842
-0.385,-0.666
-1.372,-0.987
-0.775,-0.024
-0.778,-0.028
-0.278,0.300
1.752,-0.091
1.197,0.683
-0.483,-0.581
-1.275,-0.526
-1.459,-0.384
-1.034,-0.370
-0.517,-0.218
-0.972,-0.279
-0.272,-0.508
1.145,0.973
-1.204,-1.010
-0.000,-0.309
-0.811,-0.014
-0.890,-0.415
-1.612,-0.767
-2.637,-2.118
-1.210,-1.193
-1.852,-1.523
-0.412,-0.674
-0.546,-0.283
-4.189,-0.996
-0.749,-0.645
