z,u_wc
-0.957,-0.944
-0.472,-0.406
-1.683,-1.296
-2.108,-1.048
-2.059,-1.918
-0.815,-0.333
0.856,0.769
-1.428,-1.004
-2.640,-2.277
0.274,0.275
-0.962,-0.675
-2.990,-2.358
-1.331,-0.594
-1.073,-0.458
-1.639,-0.951
0.080,0.509
-0.928,-0.517
-1.158,-0.240
0.500,1.383
-0.839,-0.068
-2.480,-2.105
-2.502,-1.384
-0.252,-0.180
-0.670,-0.104
-0.087,0.452
-0.389,-0.620
0.274,0.300
0.247,0.595
-2.111,-1.281
-0.503,-0.101
-1.224,-0.543
-1.451,-0.973
0.816,0.927
-0.885,-0.883
-0.334,-0.628
-0.855,-0.410
-2.662,-2.277
-0.673,-0.825
-0.841,-0.569
-2.098,-1.281
-1.118,-0.844
-2.182,-1.996
-1.922,-1.865
-2.495,-2.222
0.045,0.259
-0.076,0.322
-0.652,-0.261
-0.002,0.169
-1.032,-0.807
-2.695,-2.305
-0.606,-0.882
-1.750,-0.894
-0.283,-0.094
2.264,1.522
0.944,1.248
-0.824,-0.563
-0.908,-0.259
0.193,0.472
-1.509,-1.159
-0.653,-0.828
-0.909,-0.332
0.966,1.094
-0.424,-0.158
-2.541,-2.222
-2.761,-2.277
-1.056,-0.641
-0.911,-0.930
-1.401,-1.170
-0.339,-0.642
-0.350,-0.004
-0.040,0.258
-0.832,-0.168
-2.250,-2.023
-0.999,-0.620
-1.356,-0.469
-2.955,-2.331
-0.456,0.135
0.518,0.393
-2.920,-2.358
-0.602,-0.537
-1.193,-1.137
-2.921,-2.360
-0.776,-0.794
-1.433,-0.643
-3.960,-2.006
-1.975,-1.681
-2.060,-1.918
-1.685,-0.842
-1.365,-1.118
0.296,0.613
-1.422,-0.677
-0.935,-0.807
-2.315,-1.794
1.481,1.115
-1.103,-0.818
-1.083,-0.384
-2.586,-2.249
-0.928,-0.569
-0.808,-0.955
-1.455,-0.982
-3.056,-2.331
0.138,-0.012
-0.670,-0.804
-0.707,-0.274
-1.284,-0.844
-2.450,-2.169
-3.625,-2.523
-0.141,-0.505
-0.040,0.457
-1.587,-1.184
-0.506,-0.679
-0.881,-0.492
0.685,1.299
0.817,1.203
-1.050,-0.529
-0.920,-0.068
-1.882,-1.243
-0.806,-0.505
-2.252,-1.344
-2.314,-2.114
-1.158,-0.615
-0.527,-0.584
-1.308,-0.784
-1.473,-1.080
-0.534,-0.098
-1.090,-1.029
