z,u_wc
-0.760,-0.428
-1.756,-1.836
-1.080,-0.725
-0.318,-0.303
-1.486,-0.262
-0.336,-0.246
-0.028,0.357
-0.435,-0.257
0.445,0.509
-0.318,-0.185
-2.070,-1.397
-2.793,-2.122
-3.077,-1.393
-1.443,-0.986
0.598,0.602
0.133,0.818
-1.623,-0.990
-1.886,-1.644
-0.851,-0.629
-1.203,-0.921
-1.167,-1.043
-0.816,-0.428
-1.280,-1.028
-0.074,0.365
0.209,0.318
-0.299,-0.166
-1.687,-1.041
-0.496,-0.405
-0.817,-0.505
-1.350,-1.459
0.195,0.296
-0.454,-0.494
-1.878,-1.152
-1.481,-0.773
0.727,1.060
-1.080,-0.994
2.463,2.056
-2.147,-0.993
-1.180,-0.931
0.020,0.213
-2.614,-1.994
-0.232,-0.256
-2.375,-1.262
-0.284,0.044
-1.874,-1.644
-0.726,-0.345
-1.561,-0.940
-0.780,-0.527
-1.190,-1.331
-2.183,-1.726
-0.175,-0.225
-0.147,0.106
-0.004,0.164
1.208,1.030
-2.239,-1.814
-2.599,-2.127
-0.216,-0.107
-1.067,-0.485
0.042,0.184
-0.809,-1.153
0.960,1.377
-2.456,-1.733
-1.400,-1.411
-0.832,-0.552
-0.749,-0.657
-1.289,-0.592
-1.894,-1.606
-1.211,-0.600
-1.465,-0.773
0.111,0.254
-0.509,-0.314
-0.866,-0.752
-1.061,-0.410
-2.717,-2.127
-2.152,-1.328
-2.386,-1.973
0.099,0.927
-0.751,-0.337
-0.382,-0.244
-1.015,-1.018
-2.324,-2.026
-2.135,-1.672
-1.595,-1.435
-0.930,-0.986
-2.536,-2.122
-1.182,-1.482
0.556,0.621
-1.806,-1.618
0.202,0.329
-0.149,-0.076
-1.841,-1.445
0.355,0.490
-1.820,-1.825
0.234,0.437
-0.800,-0.137
-0.573,-0.313
-1.558,-0.752
-1.385,-0.694
-1.534,-1.703
-2.119,-2.012
-1.194,-0.553
-1.155,-0.951
0.565,0.617
-0.538,-0.605
-2.655,-1.994
-0.191,-0.205
1.232,1.197
0.426,0.872
0.951,1.310
-0.405,-0.241
-0.106,0.063
-0.214,0.044
-0.556,0.010
0.014,0.383
0.184,0.295
0.181,0.288
0.689,0.725
0.819,1.017
-1.022,-1.178
-0.953,-0.874
-1.610,-0.906
-0.835,-0.479
-2.698,-2.127
-0.878,-1.150
-1.169,-1.117
-1.184,-0.262
-1.625,-1.562
-0.514,-0.349
-1.518,-1.536
-0.331,-0.391
-1.268,-0.957
0.138,0.251
0.142,0.318
0.856,0.740
-0.665,-0.573
-1.356,-1.364
-0.766,-0.342
-2.690,-1.983
0.192,0.444
-0.783,-0.481
-0.462,-0.296
-1.668,-1.279
-0.610,-0.382
-0.613,-0.650
-2.069,-2.004
-1.215,-1.218
0.724,1.255
-1.649,-1.041
-0.845,-0.487
-0.033,0.672
0.578,0.646
-1.857,-1.605
-2.132,-2.000
-2.675,-1.235
-0.840,-0.479
0.571,0.628
-0.726,-0.650
-1.353,-1.144
-1.497,-1.247
-2.119,-2.026
-1.024,-0.005
-0.790,-0.350
-0.834,-0.552
-1.299,-0.934
0.267,0.381
-0.835,-0.862
-1.762,-1.279
-1.811,-1.311
0.177,0.266
-1.618,-0.880
-0.669,-0.456
-1.903,-1.255
-0.185,0.005
0.239,0.307
-1.927,-1.601
-1.143,-1.043
-1.944,-1.601
-0.519,-0.375
-0.364,0.229
-0.881,-0.604
-2.705,-1.994
-0.601,-0.430
-0.752,-0.112
-2.592,-2.127
-2.372,-1.973
1.415,1.171
-0.482,-0.288
0.650,1.195
-1.311,-1.144
0.695,0.977
-1.285,-0.657
-2.800,-2.100
-1.778,-1.792
-0.649,-0.631
-0.406,-0.236
-0.248,1.200
-1.565,-1.204
-1.287,-0.694
0.929,0.858
-2.154,-1.672
-0.963,-1.163
-2.953,-1.966
-0.052,0.138
-1.357,-0.911
-0.782,-1.072
-0.782,-0.700
0.376,0.516
-0.065,0.002
-1.559,-0.617
-1.502,-1.334
-2.208,-2.026
-1.086,-1.069
-0.203,0.080
-0.632,-0.961
-1.750,-0.676
-1.009,-0.900
-0.662,-0.605
-1.324,-0.518
0.255,0.384
-2.340,-1.397
-1.626,-0.617
0.166,0.277
-1.685,-1.588
-0.873,-0.531
-0.998,-0.164
0.565,0.628
0.617,0.655
-1.434,-1.223
-2.645,-1.771
-1.644,-0.588
-2.640,-1.688
-1.060,-1.069
-2.500,-2.053
-1.231,-0.694
-1.348,-0.683
-1.755,-1.637
-1.142,-1.018
-0.360,0.281
0.449,0.593
-0.815,0.022
-0.854,-0.629
-0.051,0.202
0.472,0.620
-1.117,-0.547
-3.404,-2.642
-2.194,-2.058
-1.533,-0.702
-1.860,-1.311
0.493,0.558
-0.936,-0.554
-0.219,3.018
2.099,1.353
1.355,1.983
-0.291,2.680
0.430,2.875
2.018,2.288
0.427,0.925
-1.218,4.096
1.201,2.137
1.526,1.597
2.489,1.197
1.522,1.694
1.302,2.500
2.297,1.143
0.871,1.945
0.852,1.992
-0.180,2.759
0.910,2.904
1.302,2.480
2.417,1.387
-0.073,3.062
1.642,1.253
2.882,1.623
1.633,1.227
0.760,2.577
-0.642,3.419
0.994,2.629
1.318,1.829
1.148,2.075
-1.995,4.866
1.859,1.333
1.570,1.946
-0.424,3.284
1.977,1.511
1.398,2.518
-0.896,3.635
0.264,3.154
0.072,3.009
0.457,2.917
1.335,2.290
2.086,2.553
1.666,1.111
0.885,2.843
1.898,0.985
1.604,1.853
0.156,2.696
0.675,2.935
-0.120,2.685
1.564,1.853
1.431,1.867
